roll_number,ranking,schoolname,address1,county,schooltype,pupils,latitude,longitude,ed_id,ed_english
06789H,NULL,LISRONAGH N S,Lisronagh,Tipperary,primary,102,52.4177263,-7.7038901,217120,LISRONAGH
06852L,NULL,GARRACLOON N S,Garracloon,Mayo,primary,18,54.0907066,-9.2285528,157047,CARROWMORE
06936R,NULL,ST JOHNS CONVENT,Cathedral Place,Limerick,primary,274,52.6618831,-8.6163235,128029,MARKET
06959G,NULL,CLONROCHE N S,Clonroche,Wexford,primary,94,52.4474669,-6.7245608,247038,CLONROCHE
06998Q,NULL,St Patrick's NS,Corlough,Cavan,primary,46,54.1235639,-7.7688977,NULL,NULL
07006A,NULL,BALLYCLOUGH MIXED N S,Ballyclough,Cork,primary,129,52.0618477,-8.0221901,47122,CURRAGLASS
07054L,NULL,CULLENS N S,Faranoo,Mayo,primary,244,54.1380922,-9.1638727,157015,BALLINA RURAL
07075T,NULL,S N NAOMH FEICHIN,Cross,Mayo,primary,70,53.7238764,-9.0017356,157051,CLAREMORRIS
07117J,NULL,S N LOCH GUIR,Patrickswell,Limerick,primary,31,52.5163151,-8.5338763,127081,GRANGE
07120V,NULL,KILLYON N S,Hill of Down,Meath,primary,91,53.4860249,-7.0024289,167051,KILLYON
07143K,NULL,MONREAGH N S,Monreagh,Donegal,primary,47,54.956356,-7.4571077,57095,KILLEA
07183W,NULL,ST JOSEPHS GIRLS N.S.,Davitt Road,Laois,primary,240,53.1133662,-7.3188819,107072,MOUNTMELLICK URBAN
07191V,NULL,S N SEOSAMH,Blueball,Offaly,primary,74,53.2755255,-7.4933852,187087,TULLAMORE URBAN
07222G,NULL,BANOGUE NATIONAL SCHOOL,Dohora,Limerick,primary,74,52.4807181,-8.7081204,127022,BALLYNABANOGE
07242M,NULL,CLOGHROE MIXED N S,Cloghroe,Cork,primary,525,51.9178279,-8.6165928,47250,MATEHY
07245S,NULL,CULLEN N S,Cullen,Tipperary,primary,14,52.5115891,-8.2778414,217063,CULLEN
07246U,NULL,Ravenswell Primary School,Ravenswell,Wicklow,primary,402,53.2094729,-6.1102349,NULL,NULL
07315N,NULL,HOLY FAMILY SNR,Station Road,Clare,primary,323,52.8420655,-8.9817448,NULL,NULL
07317R,NULL,GLENGURT N S,Tournafulla,Limerick,primary,106,52.362988,-9.163824,127077,GLENGORT
07358I,NULL,S N SCEICHIN A RINCE,Skeheenarinky,Tipperary,primary,39,52.3113101,-8.0792299,217037,BURNCOURT
07374G,NULL,BALLINTUBBER N S,Ballintubber,Mayo,primary,92,53.758423,-9.3054749,157098,KILLAVALLY
07441S,NULL,BALLYCURRANE N S,Clashmore,Waterford,primary,45,52.0087143,-7.7721539,227046,GRALLAGH
07442U,NULL,St Josephs National School,Borrin-in-Ossory,Laois,primary,106,52.93938,-7.630777,NULL,NULL
07455G,NULL,SCOIL MHUIRE GAN SMAL,Ballygar,Galway,primary,85,53.5225627,-8.3257391,67131,KILLERORAN
07464H,NULL,BROWNEKNOWE N S,Brownknowe,Donegal,primary,67,55.0606118,-7.6213522,57071,GLENALLA
07481H,NULL,KILMOGANNY MIXED N S,Cottresllstown,Kilkenny,primary,21,52.4613287,-7.3289369,97068,KILMAGANNY
07518E,NULL,S N CNOC AN MHARCAIGH,Melview,Longford,primary,282,53.75998,-7.79188,137013,CALDRAGH
07546J,NULL,GOLDENBRIDGE CONVENT,Saint Vincent Street West,Dublin,primary,235,53.3366415,-6.3190564,268085,KILMAINHAM C
07551C,NULL,BALLINDERREEN MXD N S,Ballinderreen,Galway,primary,201,53.1849544,-8.9098064,67089,DRUMACOO
07626H,NULL,S N AN IORBALL RIABAIGH,Urblereagh,Donegal,primary,48,55.3360596,-7.2878238,57116,MALIN
07636K,NULL,ST FINTANS N S,New Line Road,Laois,primary,91,52.9986259,-7.4788203,107073,MOUNTRATH
07651G,NULL,ST JOSEPH'S GIRLS NATIONAL SCHOOL,Convent Road,Cork,primary,220,51.6260391,-8.8808829,47096,CLONAKILTY URBAN
07722D,NULL,ST PETERS N S SNR,Excise Street,Westmeath,primary,147,53.4218106,-7.9420892,237005,ATHLONE WEST URBAN
07737Q,NULL,VILLIERSTOWN N S,Villierstown,Waterford,primary,33,52.0882445,-7.850768,227028,DROMANA
07751K,NULL,MONAGHAN MODEL SCHOOL,North Road,Monaghan,primary,158,54.2511178,-6.9721702,NULL,NULL
07790U,NULL,CHURCHTOWN N S,Churchtown,Kildare,primary,88,53.0093311,-7.0516426,87024,CHURCHTOWN
07841L,NULL,KILGOBNET N S,Beaufort,Kerry,primary,82,52.0655656,-9.7295107,77099,KILGOBNET
07857D,NULL,S N AILBHE,Killinure,Limerick,primary,206,999,999,NULL,NULL
07900B,NULL,BALLYSTEEN N S,Ballysteen,Limerick,primary,37,52.6468164,-8.951776,127085,IVERUSS
07949I,NULL,S N OSMANN,Model School Road,Offaly,primary,83,53.0994539,-7.9144953,187013,BIRR URBAN
07990F,NULL,SCOIL NAOMH CARTHACH,Ballyfinane,Kerry,primary,26,52.1708717,-9.596077,77138,MOLAHIFFE
08037Q,NULL,TANG N S,Clogher,Westmeath,primary,124,53.5351792,-7.7927649,237083,NOUGHAVAL
08099P,NULL,ST LAURENCES NATIONAL SCHOOL,Sallins,Kildare,primary,688,53.2483774,-6.6614967,87014,BODENSTOWN
08100U,NULL,S N PHADRAIG,Edmonstown,Westmeath,primary,92,53.5136852,-7.1427857,237065,KILLUCAN
08143P,NULL,S N MHUIRE,Bawn Road,Cavan,primary,49,54.1937636,-7.7047113,27083,SWANLINBAR
08147A,NULL,Scoil an Ghleanna Pobal Scoil Náisi,Aghort The Glen,Kerry,primary,16,999,999,NULL,NULL
08221J,NULL,ST SENANS NATIONAL SCH,Templeshannon,Wexford,primary,459,52.504536,-6.5566341,247045,ENNISCORTHY RURAL
08251S,NULL,SCOIL NAOMH MICHEAL,West End,Kerry,primary,67,51.8385167,-9.9043117,77153,SNEEM
08302J,NULL,HOLY TRINITY NATIONAL SCHOOL,Newport Road,Mayo,primary,61,53.8017782,-9.5213563,157153,WESTPORT URBAN
08342V,NULL,BOHERMORE N S,Srahane,Limerick,primary,30,52.6111579,-8.5250538,127036,CAHERCONLISH WEST
