roll_number,gaeltacht_indicator,deis,island,irish_classification,ethos
60843Q,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
62470N,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19209H,N ,Y ,N ,No subjects through Irish,Catholic
60340N,N ,N ,N ,No subjects taught through Irish,CATHOLIC
14712O,Y ,N ,N ,All subjects through Irish,Catholic
19956V,N ,N ,N ,All subjects through Irish,Catholic
14426N,N ,N ,N ,No subjects through Irish,Catholic
19774P,N ,Y ,N ,No subjects through Irish,Catholic
16492N,N ,N ,N ,No subjects through Irish,Catholic
91411K,Y ,Y ,N ,All pupils taught all subjects through Irish,INTER DENOMINATIONAL
17314R,N ,N ,N ,No subjects through Irish,Catholic
60343T,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
61690W,N ,N ,N ,No subjects taught through Irish,CATHOLIC
13879W,N ,N ,N ,No subjects through Irish,Catholic
19800N,N ,N ,N ,No subjects through Irish,Catholic
04802J,N ,N ,N ,No subjects through Irish,Catholic
76078Q,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17994T,N ,N ,N ,No subjects through Irish,Catholic
18504E,N ,N ,N ,No subjects through Irish,Catholic
20094A,N ,N ,N ,No subjects through Irish,Catholic
16818R,Y ,N ,N ,All subjects through Irish,Catholic
64270P,N ,N ,N ,All pupils taught all subjects through Irish,CATHOLIC
19846O,N ,N ,N ,No subjects through Irish,Catholic
19260H,Y ,Y ,N ,Some subjects through Irish,Catholic
16790V,N ,N ,N ,No subjects through Irish,Catholic
12488C,N ,N ,N ,No subjects through Irish,Catholic
16335U,N ,N ,N ,No subjects through Irish,Catholic
13758K,N ,Y ,N ,No subjects through Irish,Catholic
72010I,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
18979F,N ,N ,N ,No subjects through Irish,Catholic
13026P,N ,N ,N ,No subjects through Irish,Catholic
17937H,N ,N ,N ,No subjects through Irish,Catholic
17223O,N ,N ,N ,No subjects through Irish,Catholic
20115F,Y ,N ,N ,All subjects through Irish,Catholic
65582Q,N ,N ,N ,No subjects taught through Irish,CATHOLIC
62570R,N ,N ,N ,No subjects taught through Irish,CATHOLIC
60930L,N ,N ,N ,No subjects taught through Irish,CATHOLIC
60383I,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20413N,N ,N ,N ,No subjects through Irish,Multi Denominational
17854D,N ,N ,N ,No subjects through Irish,Catholic
