id06,county,ed_english,pop2016,hpindex2016,edhigh,hlprof,larent,unemploy
5068,Dublin,STILLORGAN-PRIORY,2195,9.29935465,67.78865254,65.78587699,3.40341663,6.7866956
5069,Dublin,TIBRADDEN,1111,6.24646023,44.97305198,42.93429343,1.73510072,6.19410131
6001,Kildare,ATHY EAST URBAN,3910,-11.89368016,28.34723155,25.67774936,11.37630954,25.6557278
6002,Kildare,ATHY WEST URBAN,2971,-21.09103759,15.88695987,15.04543925,19.65729243,38.42627823
6003,Kildare,NAAS URBAN,21597,2.51281292,45.21150615,46.18697041,6.10214621,9.46982569
6004,Kildare,ATHY RURAL,3834,-9.53650357,28.90084808,29.91653625,8.15046163,22.40528796
6005,Kildare,BALLAGHMOON,203,-3.47647605,27.27272727,42.36453202,0.00E+00,7.84313725
6006,Kildare,BALLITORE,1133,-8.71661331,24.20590869,25.41924095,20.04780822,16.34276403
6007,Kildare,BALLYBRACKAN,614,-7.54373868,22.24380281,30.29315961,4.02181791,17.87564668
6008,Kildare,BALLYSHANNON,1789,0.03190368,39.70843237,47.06539966,7.90745851,9.25839075
6009,Kildare,BELAN,266,-4.76938923,30.05464481,42.10526316,2.08333333,8.75
6010,Kildare,BERT,167,-8.64967952,20.68965517,31.13772455,0.00E+00,17.74193548
6011,Kildare,BURTOWN,413,-1.95466611,35.33834586,45.76271186,1.4084507,12.14953271
6012,Kildare,CARRIGEEN,624,-4.74156076,32.23226357,41.18589744,0.86430424,15.83228876
6013,Kildare,CASTLEDERMOT,1637,-9.17182265,25.87431671,25.90103849,11.2016721,16.34216482
6014,Kildare,CHURCHTOWN,528,-9.7777391,25.81612035,35.03787879,2.79384517,19.26421958
6015,Kildare,DUNMANOGE,479,-8.10341665,25.59188597,25.4697286,8.39411111,15.6636713
6016,Kildare,FONTSTOWN,410,-4.75722205,30.26819923,40.24390244,0.00E+00,11.01694915
6017,Kildare,GRANEY,775,-3.57065171,27.77157499,36.38709677,0.38047974,9.72849462
6018,Kildare,GRANGEMELLON,624,-8.71287886,27.38644053,32.69230769,11.68022682,21.47665171
6019,Kildare,HARRISTOWN,477,-5.61901671,21.40350877,25.99580713,0.68965517,7.08661417
6020,Kildare,INCHAQUIRE,231,-1.19180451,31.29251701,41.99134199,0.00E+00,8.45070423
6021,Kildare,JOHNSTOWN,172,-4.08754559,33.96226415,46.51162791,1.63934426,11.53846154
6022,Kildare,KILBERRY,634,-15.87817315,17.12613167,20.66246057,5.73416852,21.93663229
6023,Kildare,KILDANGAN,742,-0.36637078,36.9445648,45.82210243,4.53935009,7.55465708
6024,Kildare,KILKEA,392,-10.65222534,27.69142683,31.12244898,2.19228316,17.59102426
6025,Kildare,KILRUSH,677,2.03008306,28.89887772,38.99556869,0.00E+00,2.68914415
6026,Kildare,LACKAGH,859,-3.94118636,30.36026572,37.4854482,1.5868183,14.69397403
6027,Kildare,MONASTEREVIN,4897,-9.57141887,23.54438791,26.01592812,7.39231799,18.42577227
6028,Kildare,MOONE,487,-1.79235117,31.41025641,41.27310062,0.62893082,9.28571429
6029,Kildare,NARRAGHMORE,823,-2.36789722,33.20898439,43.49939247,4.71151851,12.95105571
6030,Kildare,NURNEY,1081,-4.68838842,25.01490813,33.30249769,6.76165635,13.46088749
6031,Kildare,QUINSBOROUGH,160,2.9438151,35.05154639,37.5,0.00E+00,7.54716981
6032,Kildare,SKERRIES,660,-12.4991941,22.77131668,30.60606061,28.79999786,23.29108253
6033,Kildare,BALRAHEEN,2403,2.59832894,46.67127001,44.44444444,3.86954324,8.93541442
6034,Kildare,CELBRIDGE,15653,1.89193644,43.55425564,45.10317511,4.29484951,10.52490976
6035,Kildare,CLONCURRY,1571,0.74987365,38.57104019,47.35837046,1.57530436,11.60327359
6036,Kildare,DONADEA,793,2.33055871,37.31487565,50.18915511,0.00E+00,6.58787948
6037,Kildare,DONAGHCUMPER,6257,5.81605789,52.40172845,51.98977146,4.8548441,7.52338003
6038,Kildare,KILCOCK,6930,1.79248378,42.28729572,43.26118326,5.87921168,8.50902003
6039,Kildare,LEIXLIP,15576,1.08695661,42.25684363,45.13353878,5.27037095,9.80613259
6040,Kildare,MAYNOOTH,15998,8.15070103,60.76142006,47.35591949,4.40333437,9.60889654
