S-ID,Address Line 1,County,Lat (WGS84 GPS),Long (WGS84 GPS)
09492W,Balscadden,Dublin,53.615529200000005,-6.2317045
09537S,Ballinadee,Cork,51.7137862,-8.627134300000002
09642P,Howth Road,Dublin,53.39131429999999,-6.1002339999999995
09660R,Mullanalamphry,Donegal,54.6874178,-8.0218055
09691F,Killeenduff,Sligo,54.274739399999994,-8.9236917
09702H,Cappagh,Limerick,52.55405989999999,-8.928760800000001
09708T,Knocknagoshel,Kerry,52.2681291,-9.699703900000001
09748I,Knockbrack,Donegal,54.9124843,-7.6905796
09750S,Terenure Road East,Dublin,53.3096938,-6.2820241999999995
09760V,Cookstown Road,Wicklow,53.188576399999995,-6.1673643
09782I,Flemby,Kerry,52.2463945,-9.598041699999998
09815U,Tullylease,Cork,52.3144969,-8.9394165
09833W,Lettergesh West,Galway,53.585922100000005,-9.9117513
09837H,Dunloe Upper,Kerry,51.985706,-9.646616
09841V,Ballyduff,Kerry,52.45455160000001,-9.662905199999999
09872J,Cloughoulamore,Cork,52.06013179999999,-9.0647121
09878V,Direen,Kerry,51.891137799999996,-10.2281816
09915B,Martinstown,Limerick,52.397438799999996,-8.4789981
09927I,Granagh,Limerick,52.4593125,-8.7636093
09932B,Manor Street,Dublin,53.3526416,-6.282914
09938N,Scoil Ide,Kerry,52.2300415,-9.4659594
09967U,Newtown Upper,Tipperary,52.343792799999996,-7.417961999999999
10014Q,Coolick,Kerry,52.1249321,-9.5055646
10047I,New Road,Cork,51.903175,-8.956614
10049M,Dromickbane,Kerry,52.0253654,-9.455939599999999
10050U,Scartlea,Kerry,52.0392638,-9.4739618
10062E,Creeslough,Donegal,54.9558392,-7.7342787
10095T,Killure,Galway,53.398941,-8.334400200000001
10111O,Lacken,Wicklow,53.1389345,-6.4903712
10120P,Convent Road,Tipperary,52.3745296,-7.925247
10131U,Valleymount,Wicklow,53.106376899999994,-6.52454
10146K,Corliss,Cavan,54.01387270000001,-7.5282313
10223C,Tashinny,Longford,53.5918533,-7.6971425
10239R,Caherdaniel,Kerry,51.774223299999996,-10.1108589
10243I,Ahiohill,Cork,51.70567,-8.88384
10282S,Drumacrutten,Monaghan,54.1958353,-6.9406231
10296G,Strand Road,Dublin,53.42197779999999,-6.1352029
10326M,Gortatlea,Kerry,52.2729968,-9.699473900000001
10353P,Church View,Offaly,53.2733025,-7.481496400000001
10394G,Cordal,Kerry,999.0,999.0
10429W,Boyher,Monaghan,54.117898200000006,-7.0148382
10494K,Carysfort Avenue,Dublin,53.289288899999995,-6.1809426
10499U,Old Timoleague Road,Cork,51.6260801,-8.874350999999999
10501E,Asdee,Kerry,52.552089699999996,-9.5396175
10523O,Greenhill,Cork,52.142717499999996,-8.274057899999999
10533R,Ballydrehid,Tipperary,52.4015639,-7.963147500000001
10544W,Main Street,Laois,53.0134405,-7.1454198
10548H,Wolfe Tone Square,Cork,51.6814766,-9.454777499999999
10591I,Aird Mhoir,Galway,53.3227089,-9.7369713
10595Q,Belleek Road,Donegal,54.53412120000001,-8.229863799999999
10653E,Martin's Row,Dublin,53.350269,-6.3450544
10675O,Ballymana,Galway,53.1987809,-8.7108922
10683N,Manor Kilbride,Wicklow,53.1982029,-6.4673638
10724B,Golf Links Road,Cork,51.9478747,-7.8505461
10739O,Ballincarriga,Cork,51.7046192,-9.0365861
10751E,Aghnameal,Monaghan,54.1945676,-6.850291400000001
