P-ID,S-ID,Closest School (km),Num Sec Schools < 5km
4437235,60400F,0.8362020790624418,38.0
4462440,60400F,0.30715471191702554,36.0
4449939,60410I,0.2842501643147211,45.0
4458198,60410I,0.6179365923942528,46.0
4460862,60410I,0.3710398334610447,45.0
4452824,60410I,1.022414348542057,39.0
4428918,60410I,1.2648344447970514,43.0
4360188,60410I,0.5719557215177837,45.0
4429429,60410I,0.5357396898087917,47.0
4452090,60410I,0.3748801985089699,46.0
4467518,60410I,0.8546715125652724,44.0
4450762,60420L,0.7538758853559607,29.0
4463806,60420L,0.9328925452999336,34.0
4454179,60420L,1.044759049794993,29.0
4433746,60430O,0.27186754294202353,46.0
4465784,60430O,0.6163449209163837,45.0
4448939,60430O,0.24458228351410796,44.0
4467396,60430O,0.6163449209163837,45.0
4349025,60440R,0.629721870788952,41.0
4461244,60440R,0.7213604489012416,38.0
4419868,60440R,1.2440091675321008,41.0
4467018,60440R,0.7411794978505887,42.0
4412849,60440R,0.8918202181910907,42.0
4423969,60440R,0.6871563917541826,43.0
