id06,ed_english,pop2016,hpindex2016,unemploy,larent,hlprof
18225,CAHERDUGGAN,619,2.47259587,8.37190718,0.00E+00,44.74959612
18226,CARRIG,244,-1.75309006,5.17241379,0.00E+00,34.42622951
18227,CHURCHTOWN,1165,-4.13538645,10.1761334,7.16333828,34.24892704
18228,CLENOR,340,-3.5488027,10,2.5210084,34.70588235
18229,DONERAILE,1403,-9.98389588,17.2687263,14.75913874,23.59230221
18230,DROMORE,2706,-1.66490477,8.19751498,3.5251536,35.80931264
18231,IMPHRICK,344,2.5292099,7.14285714,0.79365079,41.56976744
18232,KILMACLENINE,725,-3.08216132,7.36990596,3.91836749,32.68965517
18233,KILSHANNIG,1081,-3.91746603,10.32881388,5.32920404,37.09528215
18234,LISCARROLL,593,-5.31824194,13.77501101,6.83283163,32.71500843
18235,MALLOW RURAL,4615,-3.29473816,14.08887258,17.73629231,33.86782232
18236,MILLTOWN,374,-2.12324987,9.08051585,0.7758394,40.64171123
18237,MONANIMY,812,-0.2711263,6.79501361,3.744787,34.72906404
18238,RAHAN,884,-1.24841812,7.59594436,0.00E+00,43.09954751
18239,RATHLUIRC,4253,-10.88502373,16.66162446,12.68271507,23.93604514
18240,SHANBALLYMORE,630,-6.03728649,12.62816848,5.33324968,30.31746032
18241,SKAHANAGH,162,-4.50654599,11.11111111,1.66666667,40.12345679
18242,SPRINGFORT,617,-5.10212916,9.56882147,13.02921295,34.19773096
18243,STREAMHILL,94,-9.18772134,12,0.00E+00,36.17021277
18244,TEMPLEMARY,326,-2.67158479,5.81395349,0.84033613,40.79754601
18245,WALLSTOWN,266,0.19024905,7.8125,0.00E+00,39.09774436
18246,BALLINTEMPLE,550,2.16443917,2.11721791,0.64335664,34.36363636
18247,BALLYCOTTIN,1692,3.03497463,8.20251507,2.16609887,41.31205674
18248,BALLYSPILLANE,352,3.12532975,5.61797753,0.00E+00,48.01136364
18249,CARRIGTOHILL,7334,1.74785967,8.47654911,4.19040234,39.31006272
18250,CASTLEMARTYR,1041,4.80263557,5.48144429,1.18041151,41.11431316
18251,CLONMULT,213,-0.75712142,10.29411765,0.00E+00,37.55868545
18252,CLOYNE,4374,-1.99150291,11.96156157,6.92336031,35.73388203
18253,CORKBEG,2601,0.63667085,10.01911105,5.65140089,37.0626682
18254,DANGAN,254,-3.08466432,9.23076923,0.00E+00,40.5511811
18255,DUNGOURNEY,755,3.2595432,5.15192832,2.2659396,45.69536424
18256,GARRYVOE,619,4.14739694,3.76972785,0.00E+00,50.40387722
18257,IGHTERMURRAGH,2757,1.78987552,8.0361894,8.23920527,39.31809938
18258,INCH,525,3.14615951,7.13541925,1.79047619,44.19047619
18259,LISGOOLD,996,-0.68803171,9.05938753,0.96073564,41.96787149
18260,MIDLETON RURAL,8922,-0.37639551,11.06311456,8.75867313,38.4667115
18261,MOGEELY,691,-2.3229274,10.75518921,7.26682184,41.09985528
18262,ROSTELLAN,1243,3.38286917,5.29377497,2.54869278,46.01769912
18263,TEMPLEBODAN,626,-0.35378702,5.72489081,0.00E+00,41.37380192
18264,TEMPLENACARRIGA,596,3.19683397,8.36546447,0.58546337,46.1409396
18265,CAHERBARNAGH,514,-1.14778087,5.49683489,1.63934544,40.6614786
