p_id,sale_price,property_type,beds,baths,area_sqm,routing_key,ber_rating,ber_energy,sec_school_distance,no_of_sec_schools_5k,pri_scholl_distance,no_of_pri_schools_5k,garda_distance,no_of_garda_5k,ann_mean_crime_0,total_crime_0,ann_mean_crime_1,total_crime_1,ann_mean_crime_2,total_crime_2,ann_mean_crime_3,total_crime_3,ann_mean_crime_4,total_crime_4,ann_mean_crime_5,total_crime_5,ann_mean_crime_6,total_crime_6,ann_mean_crime_7,total_crime_7,ann_mean_crime_8,total_crime_8,ann_mean_crime_9,total_crime_9,ann_mean_crime_10,total_crime_10,ann_mean_crime_11,total_crime_11,ed_english,pop_2016,hpindex_2016,ed_high,hl_prof,larent,unemployment,county,schoolrank,houses_sold,max_sale_price,min_sale_price,mean_sale_price,median_sale_price
4466533,0.0,Farm ,,,,P12,,,0.14112647542008455,2.0,0.03185286946908325,4.0,0.4144032611118804,1.0,26.08,313.0,21.42,257.0,29.58,355.0,37.33,448.0,31.92,383.0,8.92,107.0,0.0,0.0,8.25,99.0,102.92,1235.0,1.08,13.0,65.17,782.0,3.17,38.0,MACROOM URBAN,3961.0,-3.74029623,34.17909387,30.59833375,11.24386653,12.34948705,Cork,70.0,22.0,387500.0,37500.0,180522.72727272726,182000.0
3971193,7950000.0,Detached House ,5.0,5.0,654.0,A96,B2,113.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4416528,995000.0,Detached House ,4.0,2.0,290.0,P17,C1,166.68,14.246101608460558,0.0,2.0478032396553854,5.0,2.280934773185314,1.0,57.58,691.0,25.08,301.0,45.0,540.0,79.08,949.0,30.08,361.0,7.33,88.0,0.33,4.0,6.75,81.0,152.5,1830.0,0.42,5.0,95.83,1150.0,3.33,40.0,KINSALE RURAL,4913.0,3.38595979,46.99333013,49.78628129,2.94964257,8.10953174,Cork,94.0,14.0,720000.0,51550.0,313741.64285714284,295000.0
4463374,125000.0,Semi-Detached House ,,,,F23,D2,,0.5614470799669298,2.0,0.28261569737138176,10.0,0.9110082859579628,1.0,94.75,1137.0,70.5,846.0,46.0,552.0,153.17,1838.0,59.92,719.0,24.17,290.0,0.42,5.0,19.5,234.0,276.25,3315.0,3.42,41.0,274.92,3299.0,7.17,86.0,CASTLEBAR URBAN,6163.0,-10.19632949,32.85543438,26.23722213,10.05517693,24.70029143,Mayo,72.0,32.0,390000.0,29000.0,152588.0625,143750.0
4443203,225000.0,Detached House ,4.0,3.0,136.0,P12,C3,207.38,0.439359899939428,2.0,0.8226676381722915,5.0,0.4640946547105129,1.0,26.08,313.0,21.42,257.0,29.58,355.0,37.33,448.0,31.92,383.0,8.92,107.0,0.0,0.0,8.25,99.0,102.92,1235.0,1.08,13.0,65.17,782.0,3.17,38.0,MACROOM URBAN,3961.0,-3.74029623,34.17909387,30.59833375,11.24386653,12.34948705,Cork,120.0,22.0,387500.0,37500.0,180522.72727272726,182000.0
4454741,525000.0,Detached House ,6.0,4.0,191.0,A92,G,,1.2383104259739848,10.0,0.4111207451732957,29.0,1.0091003809533377,3.0,117.17,1406.0,374.5,4494.0,146.92,1763.0,398.67,4784.0,62.5,750.0,56.08,673.0,0.75,9.0,195.83,2350.0,597.08,7165.0,27.58,331.0,826.25,9915.0,20.75,249.0,DUN LAOGHAIRE-GLASTHULE,2807.0,4.74501624,61.08849754,60.59850374,3.30063394,10.07038334,Dublin,,33.0,8500000.0,70000.0,976787.8787878788,540000.0
4468912,2000000.0,Detached House ,4.0,,289.0,A96,B3,134.98,0.8384946461530338,9.0,1.3280717681461216,31.0,2.3872020813154227,3.0,54.08,649.0,233.17,2798.0,49.5,594.0,182.33,2188.0,38.0,456.0,18.42,221.0,0.75,9.0,13.42,161.0,131.17,1574.0,14.42,173.0,392.83,4714.0,9.33,112.0,BALLYBRACK,2962.0,-3.40753612,34.03995377,43.416610399999996,6.08112968,9.99162191,Dublin,32.0,20.0,1825000.0,177500.0,639425.0,524750.0
4451740,2400000.0,Detached House ,5.0,4.0,380.0,D18,Ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4439136,97500.0,Detached House ,1.0,1.0,,P51,Ex,,9.720062734434931,0.0,4.811689418655808,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,GRALLAGH,235.0,0.07522222,34.04255319,45.53191489,1.2987013,6.06060606,Waterford,435.0,9.0,580000.0,35000.0,245333.33333333334,165000.0
4464911,1850000.0,Detached House ,5.0,4.0,322.0,D18,D2,293.3,0.40802572223147104,20.0,0.12547020808693646,47.0,2.89040082547688,1.0,91.5,1098.0,477.25,5727.0,198.42,2381.0,422.08,5065.0,83.58,1003.0,75.58,907.0,0.75,9.0,30.33,364.0,304.5,3654.0,29.25,351.0,1195.75,14349.0,17.67,212.0,DUNDRUM-SANDYFORD,7688.0,8.44520853,61.47667744,56.84183143,4.95307153,6.87760143,Dublin,36.0,33.0,685000.0,58000.0,405355.3796969697,400000.0
