G-ID,Station,Division
20581,Kiltimagh, Mayo Division
20524,Kiltormer, Galway Division
20316,Kilworth, Cork North Division
20683,Kingscourt, Cavan/Monaghan Division
20615,Kinlough, Sligo/Leitrim Division
2085,Kinnegad, Westmeath Division
20130,Kinnitty, Laois/Offaly Division
20340,Kinsale, Cork West Division
20510,Kinvara, Galway Division
20575,Knock, Mayo Division
20410,Knocknagoshel, Kerry Division
20101,Lanesboro, Roscommon/Longford Division
2051,Laytown, Meath Division
20478,Leach Seoirse, Galway Division
20226,Leamybrien, Waterford Division
20504,Leitir Mor, Galway Division
2011,Leixlip, Kildare Division
20485,Letterfrack, Galway Division
20619,Letterkenny, Donegal Division
20625,Lifford, Donegal Division
20326,Liscarroll, Cork North Division
20473,Lisdoonvarna, Clare Division
20219,Lismore, Waterford Division
20449,Lissycasey, Clare Division
20404,Listowel, Kerry Division
20250,Littleton, Tipperary Division
20411,Lixnaw, Kerry Division
2096,Longford, Roscommon/Longford Division
2068,Longwood, Meath Division
20133,Lorrha, Tipperary Division
20490,Loughrea, Galway Division
20590,Louisburgh, Mayo Division
2057,Louth, Louth Division
2010,Lucan, D.M.R. Western Division
2074,Lusk, D.M.R. Northern Division
20361,Macroom, Cork West Division
20499,Maigh Cuilinn, Galway Division
2024,Malahide, D.M.R. Northern Division
20320,Mallow, Cork North Division
20612,Manorhamilton, Sligo/Leitrim Division
20298,Mayfield, Cork City Division
20145,Maynooth, Kildare Division
20418,Mayorstone Park, Limerick Division
20328,Midleton, Cork North Division
20324,Milford Co Cork, Cork North Division
20636,Milford, Donegal Division
20374,Millstreet Co. Cork, Cork West Division
20545,Milltown, Galway Division
20474,Miltown Malbay, Clare Division
20317,Mitchelstown, Cork North Division
2094,Moate, Westmeath Division
20610,Mohill, Sligo/Leitrim Division
20662,Monaghan, Cavan/Monaghan Division
20149,Monasterevin, Kildare Division
20279,Moneygall, Tipperary Division
20481,Monivea, Galway Division
20210,Mooncoin, Kilkenny/Carlow Division
20526,Mountbellew, Galway Division
20697,Mountcharles, Donegal Division
2034,Mountjoy, D.M.R. North Central Division
20112,Mountmellick, Laois/Offaly Division
20113,Mountrath, Laois/Offaly Division
20634,Moville, Donegal Division
20529,Moylough, Galway Division
20275,Moyne, Tipperary Division
20635,Muff, Donegal Division
20159,Muine Bheag, Kilkenny/Carlow Division
20684,Mullagh, Cavan/Monaghan Division
20253,Mullinahone, Tipperary Division
20241,Mullinavat, Kilkenny/Carlow Division
2083,Mullingar, Westmeath Division
20109,Multyfarnham, Westmeath Division
20439,Murroe, Limerick Division
20158,Myshall, Kilkenny/Carlow Division
20661,Na Cealla Beaga, Donegal Division
20646,Na Gleannta, Donegal Division
20141,Naas, Kildare Division
2078,Navan, Meath Division
20264,Nenagh, Tipperary Division
20192,New Ross, Wexford Division
20150,Newbridge, Kildare Division
20440,Newcastle West, Limerick Division
20373,Newmarket, Cork West Division
20450,Newmarket on Fergus, Clare Division
20587,Newport Co Mayo, Mayo Division
