G-ID,Crime,Total (2004 to 2015)
2043,Damage to property and to the environment,1917
2043,Dangerous or negligent acts,358
2043,"Fraud, deception and related offences",193
2043,Kidnapping and related offences,4
2043,"Offences against government, justice procedures and organisation of crime",101
2043,Public order and other social code offences,1519
2043,"Robbery, extortion and hijacking offences",85
2043,Theft and related offences,3616
2043,Weapons and Explosives Offences,99
2044,"Attempts or threats to murder, assaults, harassments and related offences",731
2044,Burglary and related offences,3356
2044,Controlled drug offences,904
2044,Damage to property and to the environment,2349
2044,Dangerous or negligent acts,596
2044,"Fraud, deception and related offences",593
2044,Kidnapping and related offences,3
2044,"Offences against government, justice procedures and organisation of crime",175
2044,Public order and other social code offences,2909
2044,"Robbery, extortion and hijacking offences",208
2044,Theft and related offences,6724
2044,Weapons and Explosives Offences,138
2045,"Attempts or threats to murder, assaults, harassments and related offences",1098
2045,Burglary and related offences,5727
2045,Controlled drug offences,2381
2045,Damage to property and to the environment,5065
2045,Dangerous or negligent acts,1003
2045,"Fraud, deception and related offences",907
2045,Kidnapping and related offences,9
2045,"Offences against government, justice procedures and organisation of crime",364
2045,Public order and other social code offences,3654
2045,"Robbery, extortion and hijacking offences",351
2045,Theft and related offences,14349
2045,Weapons and Explosives Offences,212
2047,"Attempts or threats to murder, assaults, harassments and related offences",2004
2047,Burglary and related offences,4413
2047,Controlled drug offences,1962
2047,Damage to property and to the environment,5141
2047,Dangerous or negligent acts,1819
2047,"Fraud, deception and related offences",647
2047,Kidnapping and related offences,17
2047,"Offences against government, justice procedures and organisation of crime",919
2047,Public order and other social code offences,6404
2047,"Robbery, extortion and hijacking offences",288
2047,Theft and related offences,8727
2047,Weapons and Explosives Offences,383
2048,"Attempts or threats to murder, assaults, harassments and related offences",124
2048,Burglary and related offences,511
2048,Controlled drug offences,37
2048,Damage to property and to the environment,436
2048,Dangerous or negligent acts,128
2048,"Fraud, deception and related offences",28
2048,Kidnapping and related offences,4
2048,"Offences against government, justice procedures and organisation of crime",11
2048,Public order and other social code offences,129
2048,"Robbery, extortion and hijacking offences",11
2048,Theft and related offences,972
2048,Weapons and Explosives Offences,21
2049,"Attempts or threats to murder, assaults, harassments and related offences",103
2049,Burglary and related offences,266
2049,Controlled drug offences,60
2049,Damage to property and to the environment,294
2049,Dangerous or negligent acts,40
2049,"Fraud, deception and related offences",4
2049,Kidnapping and related offences,4
2049,"Offences against government, justice procedures and organisation of crime",21
2049,Public order and other social code offences,87
2049,"Robbery, extortion and hijacking offences",6
2049,Theft and related offences,576
2049,Weapons and Explosives Offences,12
2050,"Attempts or threats to murder, assaults, harassments and related offences",193
2050,Burglary and related offences,309
2050,Controlled drug offences,52
2050,Damage to property and to the environment,369
2050,Dangerous or negligent acts,127
2050,"Fraud, deception and related offences",49
2050,Kidnapping and related offences,2
2050,"Offences against government, justice procedures and organisation of crime",24
2050,Public order and other social code offences,243
2050,"Robbery, extortion and hijacking offences",9
2050,Theft and related offences,588
2050,Weapons and Explosives Offences,18
2051,"Attempts or threats to murder, assaults, harassments and related offences",508
2051,Burglary and related offences,1372
2051,Controlled drug offences,372
2051,Damage to property and to the environment,1469
2051,Dangerous or negligent acts,476
2051,"Fraud, deception and related offences",123
2051,Kidnapping and related offences,4
2051,"Offences against government, justice procedures and organisation of crime",30
2051,Public order and other social code offences,780
2051,"Robbery, extortion and hijacking offences",79
2051,Theft and related offences,3291
2051,Weapons and Explosives Offences,63
2052,"Attempts or threats to murder, assaults, harassments and related offences",2440
2052,Burglary and related offences,3927
2052,Controlled drug offences,1394
2052,Damage to property and to the environment,7280
2052,Dangerous or negligent acts,2125
2052,"Fraud, deception and related offences",934
2052,Kidnapping and related offences,16
2052,"Offences against government, justice procedures and organisation of crime",885
2052,Public order and other social code offences,6706
2052,"Robbery, extortion and hijacking offences",410
2052,Theft and related offences,10370
2052,Weapons and Explosives Offences,507
2053,"Attempts or threats to murder, assaults, harassments and related offences",158
2053,Burglary and related offences,266
2053,Controlled drug offences,22
2053,Damage to property and to the environment,526
2053,Dangerous or negligent acts,76
2053,"Fraud, deception and related offences",28
2053,Kidnapping and related offences,0
2053,"Offences against government, justice procedures and organisation of crime",23
2053,Public order and other social code offences,268
2053,"Robbery, extortion and hijacking offences",11
2053,Theft and related offences,660
2053,Weapons and Explosives Offences,15
2054,"Attempts or threats to murder, assaults, harassments and related offences",21
2054,Burglary and related offences,154
2054,Controlled drug offences,9
2054,Damage to property and to the environment,128
2054,Dangerous or negligent acts,65
2054,"Fraud, deception and related offences",12
