P-ID,BER_ID,BER_Rating,BER_Energy_PI_(kWh/sqm/yr)
4456353,,A3,
4454822,,G,
4466242,,D2,
4460196,,B1,
4457648,103989125.0,C2,199.26
4455500,105641443.0,B3,145.01
4464687,113491351.0,E1,309.9
4420916,,C3,
4455276,113296594.0,D1,255.85
4468463,100242668.0,C3,215.96
4461518,,D1,
4453914,112373675.0,C2,198.26
4465048,111984233.0,C2,
4449495,101487213.0,E1,309.66
4466796,113524680.0,D1,255|
4456109,,A3,
4415646,103085825.0,D1,
4444570,112705835.0,C3,223.53
4459858,111235842.0,D2,290.61
4464397,,D2,
4457823,,C2,
4460509,,C2,
4416538,,D1,
4458725,,Ex,
4467590,113515019.0,B3,
4457649,113170575.0,C3,222.35
4456432,,C2,
4463411,,D1,251.4
4459909,,E1,
4467127,,C2,190.47
4459851,,B3,
4464297,104857602.0,C2,181.29
4453176,,B2,
4468554,113457139.0,E2,362 
4418483,112495395.0,G,697.97
4453763,113099139.0,C1,
4462102,113163729.0,E1,313.71
4440792,,B3,
4462400,113469605.0,D1,234.18
4452824,,F,
4433960,113097133.0,E1,310.85
4456188,113294656.0,B3,143.93
4430236,113094445.0,C3,209.9
4432541,105609333.0,B3,146.78
4461788,,G,
4454565,113286504.0,B3,147.51
4446375,111433389.0,C3,215.00
4445269,,E1,
4461482,113460232.0,F,
4448650,112883988.0,D2,282.88
4449575,112355193.0,E1,316.94
4459057,112553060.0,B3,140.3
4455036,110193539.0,C3,223.08
4468792,,B3,
4467918,113524730.0,C2,179.53
4432622,107720823.0,D2,276.46
4460199,113444285.0,E2,377.11
4462436,,F,
4465350,113491096.0,C1,153.84
4462633,111493615.0,C2,186.24
4445987,111493615.0,C2,
4456787,113268072.0,B2,104.33
4414311,112947940.0,D2,278.35
4460325,,D1,
4462359,113464622.0,G,528.83
4468291,113497689.0,C1,162.52
4458206,105655237.0,C3,206.78
4450020,113282982.0,C2,185.68
4456455,113303978.0,B3,137.55
4468794,,C3,
4464786,113200422.0,C1,153.97
4447371,111598728.0,D1,
4457693,105033617.0,B3,142.40
4461332,,D1,
4467446,110517661.0,C3,214.95
4462345,,C2,
4451261,113245914.0,D1,232.19
4459248,111849683.0,C3,219.62
4428918,113120141.0,D1,253.99
4453203,100674761.0,B3,142.48
4451171,104436951.0,E2,
4468864,,A3,
4450195,113151450.0,C3,204.72
4462749,,Ex,
4327472,112521091.0,E2,356.15
4430657,,C2,
4460908,110246097.0,D2,274.26
4463092,,C2,
4344696,,C2,
4459942,107608689.0,B3,141.44
4440941,112766092.0,C2,194.51
4452853,,C2,
4431115,,D1,
4464278,,A3,
4427466,,D1,249.15
4462171,,F,
4465438,101618502.0,D2,260.37
4459884,,E2,
4258602,,B3,
4409386,101668184.0,D1,247.16
4467979,,C3,
4452955,112529425.0,C3,212.56
4467188,113526081.0,C2,
4454265,,Ex,
4460276,105413918.0,B3,126.33
4452791,,C3,
4449370,,E1,319.62
4443146,111521050.0,B3,127.11
4465784,,C3,
4468393,113533079.0,C2,176.16
4420231,110249976.0,C3,221.96
4465843,113477921.0,E2,342.28
4467588,,C3,
4428838,,C1,
4450193,105206791.0,B3,143.17
4458138,,C2,
4421537,,C1,
4466645,,C1,
4442454,,C3,222.73
4468936,113548119.0,D2,284.41
4468129,113542351.0,E1,307.64
4450704,101072122.0,B3,128 
4465495,101943751.0,D1,242.89
4415010,113074082.0,F,420.67
4467756,,C3,
4467515,,C3,
4463375,113481006.0,C2,194.56
4453418,,Ex,
4431524,,C2,
4435675,103217535.0,C1,155.98
4461801,113442693.0,D1,242.13
4427291,113413918.0,D2,377.03
4421867,,C3,
4440173,113100739.0,C1,151.98
4413722,105567952.0,D1,
4460874,,Ex,
4459160,102925047.0,C2,189.7
4445693,107616963.0,D2,274.02
4466839,,D2,
4423157,,F,
4449681,,Ex,
4457065,104921036.0,E1,310.64
4468354,111158663.0,C3,215.59
4460523,,D2,
4464349,,G,
4443462,,TB,
4463685,103305421.0,E2,370.38
4441306,113206023.0,C3,113206023
4439293,113128870.0,E1,339.42
4466200,104759303.0,G,
4468011,112749957.0,C2,178.07
4460174,112516737.0,C3,212.09
4461112,105253041.0,C1,170.9
4428376,104808407.0,D2,296.68
4448754,,A2,
4456036,101094266.0,B2,
4459532,,B3,
4463468,102342573.0,D1,238.67
4435674,,D2,
4460470,104883038.0,B2,124.29
4466316,113510796.0,C3,208.3
4409242,,Ex,
4464265,,C1,
4465176,,A2,
4468271,,C2,
4412882,,B3,
4432249,113057707.0,D1,248.28
4467540,,D1,
4463656,,B3,
4445500,101445344.0,C3,222.39
4457009,106815624.0,G,
4409048,108622663.0,C3,216.75
4459606,112337209.0,C2,191.46
4445227,107119372.0,F,402.49
4447269,,D1,
4462718,,D1,
4454241,,B3,
4416153,104463120.0,B3,146.72
4458076,,C1,
4466688,108386277.0,C3,222.84
4465889,,C1,
4444511,,C2,
4466018,101619740.0,E2,351.82
4434533,100191089.0,D1,229.96
4452618,113261382.0,C2,175.38
4468768,111841987.0,D2,274.88
4462407,113423677.0,D2,270.2
4409640,107719866.0,E1,303.12
4461220,,D1,
4440712,104988621.0,D2,298.28
4457760,108374802.0,C3,
4459205,,A3,
4459974,,Ex,
4460597,,D1,
4428185,,C2,
4449176,113200463.0,B3,139.81
4444588,113445084.0,C1,160.48
4466036,,A3,
4361632,,Ex,
4439476,100974138.0,D2,260.85
4461713,106676711.0,D2,297.12
4450595,,D1,240.92
4461449,110057304.0,E2,343.17
4456343,113194112.0,G,644.69
4464036,,F,
4462440,113461947.0,D2,296.71
4435781,112828942.0,D1,236.66
4434881,113051619.0,C1,
4438680,,D2,
4461612,113462329.0,G,551.12
4360188,,C3,
4443805,,Ex,
4441279,109979328.0,D1,235.02
4448751,113228563.0,D2,262.74
4353728,,C3,
4454163,103386306.0,D2,273.28
4466963,,D1,
4464735,,C2,
4468228,,E1,
4438518,105212930.0,B3,137.71
4468715,,B3,
4460496,,C3,215.73
4457936,109128009.0,B2,142.82
