G-ID,"Ann.Mean_Crime_0","Total_Crime_0","Ann.Mean_Crime_1","Total_Crime_1","Ann.Mean_Crime_2","Total_Crime_2","Ann.Mean_Crime_3","Total_Crime_3","Ann.Mean_Crime_4","Total_Crime_4","Ann.Mean_Crime_5","Total_Crime_5","Ann.Mean_Crime_6","Total_Crime_6","Ann.Mean_Crime_7","Total_Crime_7","Ann.Mean_Crime_8","Total_Crime_8","Ann.Mean_Crime_9","Total_Crime_9","Ann.Mean_Crime_10","Total_Crime_10","Ann.Mean_Crime_11","Total_Crime_11"
2086,7.83,94,17.17,206,3.67,44,12.42,149,8.25,99,1.58,19,0.0,0,1.17,14,24.25,291,0.58,7,28.0,336,1.17,14
2088,7.83,94,21.17,254,25.33,304,15.58,187,10.83,130,1.33,16,0.08,1,1.33,16,15.0,180,0.67,8,32.08,385,0.67,8
2089,117.92,1415,208.75,2505,100.0,1200,247.42,2969,96.0,1152,32.67,392,0.92,11,46.42,557,384.58,4615,13.08,157,484.5,5814,22.17,266
2091,1.75,21,7.75,93,0.17,2,2.75,33,2.0,24,0.42,5,0.0,0,0.83,10,2.58,31,0.08,1,9.67,116,0.5,6
2093,8.75,105,26.33,316,1.58,19,15.67,188,8.75,105,2.33,28,0.0,0,1.17,14,9.0,108,0.5,6,44.08,529,0.42,5
2094,10.25,123,24.75,297,4.5,54,22.5,270,14.33,172,3.25,39,0.0,0,1.08,13,19.5,234,0.83,10,36.58,439,1.42,17
2095,15.67,188,31.17,374,3.67,44,32.17,386,8.33,100,2.25,27,0.08,1,1.58,19,28.75,345,0.58,7,38.42,461,1.25,15
2096,90.17,1082,113.25,1359,73.08,877,146.5,1758,76.08,913,29.75,357,0.58,7,34.42,413,210.5,2526,6.17,74,275.75,3309,16.25,195
2097,7.67,92,7.42,89,1.33,16,8.42,101,6.17,74,1.5,18,0.0,0,1.92,23,12.25,147,0.0,0,12.75,153,0.17,2
2098,3.58,43,8.5,102,0.92,11,7.75,93,3.08,37,0.67,8,0.0,0,0.33,4,1.58,19,0.17,2,12.75,153,0.33,4
20101,6.25,75,11.67,140,1.83,22,11.67,140,4.83,58,2.58,31,0.08,1,0.08,1,12.75,153,0.25,3,23.92,287,0.25,3
20103,17.67,212,31.67,380,7.75,93,31.17,374,15.17,182,4.33,52,0.0,0,4.5,54,32.67,392,0.92,11,44.0,528,2.17,26
20105,24.0,288,38.33,460,11.08,133,36.08,433,14.25,171,4.17,50,0.42,5,3.42,41,30.67,368,1.75,21,53.58,643,4.08,49
20106,3.25,39,5.92,71,0.33,4,3.42,41,1.75,21,0.42,5,0.0,0,0.33,4,4.42,53,0.08,1,6.67,80,0.08,1
20107,5.5,66,13.92,167,1.17,14,9.5,114,4.42,53,1.17,14,0.0,0,0.42,5,10.33,124,0.33,4,16.17,194,0.33,4
20108,10.42,125,25.5,306,7.08,85,20.17,242,6.75,81,1.75,21,0.0,0,3.0,36,14.0,168,0.5,6,39.75,477,0.5,6
20109,2.58,31,11.17,134,1.42,17,7.17,86,3.83,46,0.5,6,0.0,0,0.17,2,3.75,45,0.08,1,20.67,248,0.25,3
20111,117.67,1412,147.67,1772,159.92,1919,209.92,2519,102.08,1225,35.17,422,0.67,8,64.42,773,261.58,3139,9.58,115,497.33,5968,14.25,171
20112,29.92,359,39.5,474,16.83,202,56.08,673,12.75,153,5.17,62,0.25,3,4.75,57,42.33,508,1.83,22,73.42,881,6.25,75
20113,16.83,202,40.58,487,4.75,57,28.58,343,11.25,135,3.25,39,0.17,2,2.5,30,14.33,172,1.25,15,45.33,544,1.5,18
20114,38.5,462,74.17,890,32.17,386,72.25,867,30.17,362,8.58,103,0.33,4,8.42,101,66.75,801,3.42,41,136.92,1643,6.83,82
20115,6.83,82,22.5,270,227.25,2727,11.75,141,10.92,131,2.25,27,0.08,1,0.58,7,19.58,235,1.08,13,55.17,662,1.83,22
20116,3.0,36,7.33,88,0.92,11,9.33,112,2.58,31,0.42,5,0.0,0,0.42,5,3.92,47,0.08,1,9.83,118,0.58,7
20117,16.08,193,38.17,458,9.5,114,30.25,363,21.17,254,3.42,41,0.25,3,2.0,24,27.92,335,0.5,6,68.42,821,1.5,18
20119,5.17,62,14.67,176,4.08,49,8.5,102,6.83,82,1.08,13,0.17,2,0.5,6,14.08,169,0.33,4,21.5,258,0.58,7
20120,9.42,113,18.17,218,2.67,32,12.58,151,6.42,77,1.42,17,0.0,0,0.58,7,15.33,184,0.33,4,24.58,295,0.67,8
20121,9.5,114,22.58,271,1.92,23,17.83,214,3.67,44,1.0,12,0.08,1,1.92,23,11.67,140,0.42,5,28.25,339,1.0,12
20122,4.92,59,21.33,256,2.92,35,13.17,158,4.33,52,0.75,9,0.0,0,0.58,7,6.75,81,0.58,7,26.92,323,0.58,7
20124,2.5,30,14.17,170,1.83,22,5.33,64,4.92,59,1.67,20,0.08,1,0.17,2,4.92,59,0.0,0,17.08,205,0.25,3
20125,42.0,504,46.5,558,31.0,372,69.42,833,24.17,290,8.75,105,0.0,0,10.25,123,81.5,978,2.42,29,110.75,1329,6.75,81
20126,10.42,125,7.5,90,2.92,35,12.25,147,6.58,79,1.08,13,0.0,0,0.83,10,19.08,229,0.17,2,21.92,263,0.83,10
20127,7.58,91,7.5,90,1.58,19,8.83,106,5.25,63,0.83,10,0.0,0,0.92,11,10.67,128,0.17,2,15.08,181,1.25,15
20128,8.83,106,15.25,183,2.33,28,14.58,175,7.42,89,1.92,23,0.17,2,1.58,19,15.25,183,0.0,0,27.08,325,1.08,13
20129,6.83,82,9.58,115,1.67,20,14.92,179,3.92,47,0.83,10,0.0,0,0.75,9,9.08,109,0.08,1,16.17,194,0.83,10
20130,2.08,25,8.0,96,1.5,18,4.67,56,1.5,18,0.25,3,0.0,0,0.25,3,4.75,57,0.08,1,11.33,136,0.25,3
20131,3.08,37,7.42,89,1.33,16,6.92,83,2.58,31,0.83,10,0.0,0,0.25,3,11.75,141,0.08,1,10.0,120,0.5,6
20133,2.0,24,4.42,53,0.17,2,2.92,35,1.42,17,0.33,4,0.08,1,0.08,1,6.25,75,0.17,2,6.83,82,0.25,3
20134,104.33,1252,127.25,1527,85.33,1024,174.0,2088,86.17,1034,33.83,406,0.08,1,57.75,693,337.42,4049,3.75,45,348.25,4179,21.42,257
20135,15.75,189,25.08,301,11.08,133,44.08,529,11.08,133,4.75,57,0.0,0,2.17,26,32.08,385,0.92,11,45.5,546,5.08,61
20136,3.08,37,9.92,119,1.25,15,6.42,77,0.92,11,0.33,4,0.0,0,0.5,6,2.0,24,0.25,3,12.0,144,0.25,3
20137,10.58,127,15.75,189,3.0,36,11.42,137,6.17,74,1.92,23,0.0,0,2.0,24,16.58,199,0.5,6,22.67,272,1.58,19
20138,38.08,457,63.58,763,22.33,268,65.0,780,22.83,274,6.58,79,0.25,3,7.67,92,60.08,721,2.58,31,93.92,1127,5.75,69
20139,7.0,84,15.42,185,2.25,27,8.67,104,3.58,43,1.33,16,0.08,1,0.5,6,6.83,82,0.08,1,18.42,221,0.58,7
20141,112.42,1349,260.92,3131,336.08,4033,275.42,3305,139.92,1679,51.17,614,0.92,11,93.75,1125,327.17,3926,15.0,180,672.0,8064,16.0,192
20142,37.0,444,129.83,1558,41.17,494,124.92,1499,27.67,332,13.92,167,0.42,5,7.17,86,74.33,892,7.92,95,293.67,3524,5.33,64
20143,33.42,401,91.58,1099,26.58,319,72.67,872,31.08,373,6.92,83,0.25,3,3.75,45,38.92,467,7.67,92,156.25,1875,4.75,57
20145,48.33,580,123.83,1486,14.0,168,119.33,1432,38.42,461,15.75,189,0.17,2,4.08,49,117.17,1406,9.83,118,304.5,3654,2.5,30
20146,47.25,567,65.5,786,28.42,341,88.33,1060,38.17,458,16.5,198,0.17,2,9.42,113,122.0,1464,5.08,61,158.92,1907,5.83,70
20147,18.25,219,42.33,508,12.75,153,32.5,390,10.92,131,1.75,21,0.08,1,4.5,54,15.83,190,2.67,32,55.42,665,2.5,30
