P-ID,Lat_(WGS84_GPS),Long_(WGS84_GPS),Address,Eircode,Routing_Key
4467366,53.51267739999999,-8.840950200000002," 47 rivercrest, tuam, galway",H54 NX65,H54
4452533,51.8169264,-8.380715700000001," 47 rockboro heights, waterpark , carrigaline, cork",P43K068,P43
4459292,52.179821,-8.895874400000002," 47 scarbh leathan, kanturk, cork",P51A2X9,P51
4463740,53.3127267,-6.334124399999999," 47 st james's road, walkinstown, dublin 12, d12 y3f8",D12 Y3F8,D12
4415842,51.9549823,-7.8653594999999985," 47 sweetfield estate, youghal, east cork",P36H674,P36
4456541,53.377163,-6.383125199999999," 47 sycamore avenue, castleknock, dublin 15",,D15
4468745,53.2950791,-6.294334099999999," 47 the elm, parkview, stepaside, dublin 18",,D18
4465319,53.15087310000001,-6.778884199999999," 47 whitethorn, athgarvan, newbridge, kildare",,R51
4460659,53.28270209999999,-6.2431848," 47 wyckham place, dundrum, dublin 16",D16 Y582,D16
4431201,53.4208961,-7.917190899999999," 47a retreat heights, retreat road, athlone, co. westmeath, n37v049",N37V049,N37
4447462,53.8995378,-6.8090936," 48 ard dun, kells road, kingscourt, cavan",A82TH29,A82
4458788,51.8526318,-8.2996678," 48 barrymore avenue, cobh, cork",P24Y326,P24
4465179,53.27512249999999,-6.412347899999999," 48 belfry grove, citywest, dublin 24",,D24
4447195,53.6126297,-6.1905274000000015," 48 brecan close, balbriggan, dublin",,K32
4427610,52.6631921,-8.5327646," 48 carrigeen, annacotty, limerick",V94KN9F,V94
4415678,52.3891888,-6.9357729999999975," 48 chambersland, new ross, co wexford, y34 ep60",Y34 EP60,Y34
4448380,53.36269129999999,-6.246772099999999," 48 clonliffe gardens, off clonliffe road, clonliffe, dublin 3",D03YX34,D03
4468502,54.0534651,-8.743812599999998," 48 cnoc na si, tobercurry, co. sligo",,F91
4468441,52.98130079999999,-6.998516599999999," 48 corran ard, athy, co. kildare",,R14
4464194,53.27127309999999,-6.1423032," 48 eaglewood, rochestown avenue, dun laoghaire, co. dublin",,
4414237,53.31917530000001,-6.2523162," 48 edenvale road, ranelagh, dublin 6, d06 vr02",D06 VR02,D06
4468743,53.3579749,-6.295408699999999," 48 glenbeigh road, cabra, dublin 7",D07Y86P,D07
4464678,53.3316333,-6.260634400000002," 48 harcourt green, charlemont street, dublin 2, d02 yr98",D02 YR98,D02
4420662,53.70337650000001,-6.3509078," 48 lagavooren manor, drogheda, meath",,A92
4431307,51.88815620000001,-8.534626," 48 parchment square, the joyce block, model farm road,   cork city",T12 FA09,T12
4458550,52.36237720000001,-7.6758993," 48 powerstown way, clonmel, co. tipperary",,E91
4461841,53.76002159999999,-6.2739572999999975," 48 priory lodge, termonfeckin, louth",,
4467450,53.353196,-6.2358845," 48 russell avenue east, east wall, dublin 3",D03 VY02,D03
4426857,53.32992700000001,-6.285928599999999," 48 swanward court, parnell road, dublin 12, d12 fx48",D12 FX48,D12
4425120,54.9588635,-7.7165898," 48 sylvan park, letterkenny, donegal",F92W1RW,F92
4438079,51.8857394,-8.9976606," 48 the gearagh ,meadowlands, macroom, cork",,P12
4452699,52.7865704,-6.1659086," 48 the maples, arklow, co. wicklow, y14 dp22",Y14 DP22,Y14
4415556,53.71628079999999,-6.389052599999999," 48 the square, riverbank, drogheda, louth",A92DD27,A92
4455004,53.25336579999999,-9.1552089," 48 thornberry, barna, galway",H91N415,H91
4468913,52.3607532,-7.6864284," 48 tivoli heights, clonmel, co. tipperary",,E91
4449949,53.19021129999999,-6.114457400000001," 48 wheatfield, boghall road, bray, co wicklow, a98 dh02",A98 DH02,A98
4394864,52.25167829999999,-7.0701651," 48 kings court, kings channel, waterford city, waterford",X91V6EF,X91
4461572,53.33548190000001,-6.294909," 482 south circular road, south circular road, dublin 8",,D08
4438672,53.35999409999999,-6.2618483," 485 north circular road, north circular road, dublin 7",,D07
4438681,53.35790550000001,-6.2872878," 485 north circular road, north city centre, dublin 7",D07X0TE,D07
4464206,53.3764493,-6.277410400000001," 49 addison drive, addison park, glasnevin, dublin 9",,D09
4465078,51.91064009999999,-8.273725899999999," 49 ashbrook, castlelake, carrigtwohill, cork",T45YC84,T45
4464573,53.38467040000001,-6.290189099999999," 49 ballygall crescent, finglas,   dublin 11",D11H0A2,D11
4260968,53.64066090000001,-8.200137," 49 castle manor, roscommon, roscommon",F42V258,F42
4465161,52.70810669999999,-8.499670199999999," 49 castlerock avenue, co.limerick, castleconnell, co. limerick",,V94
4462059,53.3260907,-6.3261902," 49 comeragh road, drimnagh, dublin 12, d12 xr64",D12 XR64,D12
