G-ID,Lat (WGS84 GPS),Long (WGS84 GPS),X (TM65 IE Grid),Y (TM65 IE Grid)
20405,52.389175137106456,-9.827468422252537,75635.0,127925.01
20689,53.863107685039694,-7.208766036383753,252106.0,290682.0
20433,52.37071032352184,-8.345472717045363,176519.0,124355.0
20121,52.94295145467412,-7.043234880837375,264370.0,188409.01
20216,52.26722479322821,-7.7177082636817325,219322.0,112821.0
2095,53.561310410857104,-7.76084081526472,215897.0,256827.0
2091,53.49108066184703,-7.681734018343674,221174.0,249031.0
20599,54.08742997205949,-8.515227594522896,166332.0,315483.0
2021,53.39453438574936,-6.263700506565392,315553.0,239644.0
20107,53.58631413202993,-7.534942763057639,230848.0,259684.0
20421,52.597270385539325,-8.548926266988387,162853.0,149652.0
20314,52.0602053191072,-8.099315498060044,193238.0,89752.0
20260,52.27020104057031,-8.09774610109937,193377.0,113119.0
20655,54.49874568476236,-8.20481677786261,186778.0,361165.0
20469,53.11615817047474,-9.147110254597667,123241.0,207871.0
20357,51.48348309691122,-9.37226008798466,104724.0,26470.0
20162,52.9389889015224,-6.709769110428188,286795.0,188319.01
20126,53.190534021060635,-7.98592537780963,200990.0,215534.0
20335,51.74508552912841,-8.739865287047339,148948.0,54943.0
20569,54.14397655265397,-9.747075149139349,85880.0,323065.0
20285,52.44925211131247,-8.065591872053984,195590.0,133041.0
20343,51.68027152228208,-9.455234102293652,99396.0,48475.0
20550,53.48054597143154,-8.722459859684779,152084.0,248054.0
20401,52.05976733132101,-9.340943755769363,108078.0,90547.0
20566,54.221749911280135,-9.985583040568331,70539.0,332132.0
20364,51.851864169291076,-9.228984556472053,115366.0,67279.0
20691,54.1011639078617,-7.442615719224657,236512.0,317033.0
20235,52.5903029718214,-7.183235224834883,255404.0,149049.0
20125,53.09604826814636,-7.911513687177697,205977.0,205022.0
20293,51.880666667903206,-8.514618025731577,164612.0,69895.0
20618,54.29148154263697,-7.8761891293341195,208111.0,338081.0
20291,51.894325688819045,-8.404477114774783,172205.0,71367.0
2044,53.299755743243644,-6.177501074750233,321556.0,229240.0
20703,53.963753863786145,-6.3682390849029735,307145.0,302828.0
20186,52.445403743924864,-6.348827335442853,312320.0,133894.0
2031,53.38991966501459,-6.380972289469859,307764.0,238947.0
20303,51.931965054156954,-8.567658396624639,161004.0,75630.0
20163,53.17026535958519,-6.5337341150056405,298103.0,214283.0
20371,52.158973454728205,-9.069757262899657,126840.0,101277.0
20561,54.10955157563774,-9.028957396919406,132750.0,318312.0
20242,52.60180338755652,-6.9293064160282345,272594.0,150554.0
20124,52.93929682834296,-7.628806902281346,225006.0,187638.0
20265,52.9971202114969,-8.127015204541113,191521.0,194016.0
20277,52.75149188425846,-7.955371180169644,203063.0,166674.0
20505,53.25880666865598,-9.07974422548356,127991.0,223676.0
20530,53.97336890088176,-8.3003928411715,180337.0,302706.0
