P-ID,P-Lat,P-Long,S-ID,S-Lat,S-Long,Closest School (km),# Sec Schools < 5km
4464185,53.2584865,-9.1274512,62981P,53.26468730000001,-9.0830859,3.030151769062239,6.0
4441864,53.27537270000001,-9.1005198,62981P,53.26468730000001,-9.0830859,1.6590401383604094,7.0
4454125,53.27419490000001,-9.0913526,62981P,53.26468730000001,-9.0830859,1.1904563361833214,7.0
4450229,53.27439990000001,-9.0910483,62981P,53.26468730000001,-9.0830859,1.2016426471776744,7.0
4451958,53.26818829999999,-9.1071987,62981P,53.26468730000001,-9.0830859,1.6500913544681268,7.0
4427895,53.2759711,-9.106518,62981P,53.26468730000001,-9.0830859,1.9996284229741297,7.0
4455992,53.26716089999999,-9.1203529,62981P,53.26468730000001,-9.0830859,2.4936574810946177,7.0
4452343,53.26497850000001,-9.1144336,62981P,53.26468730000001,-9.0830859,2.0851138118042494,7.0
4313049,53.33791899999999,-9.1769105,62990Q,53.268730500000004,-9.075493699999999,10.22052881661065,0.0
4446436,53.26669570000001,-9.0689549,62990Q,53.268730500000004,-9.075493699999999,0.4900668126886093,7.0
4450384,53.2666158,-9.0695703,62990Q,53.268730500000004,-9.075493699999999,0.4586247450026233,7.0
4467983,53.475922,-9.0987525,63040Q,53.4683378,-9.111010400000001,1.1694808642282948,1.0
4452358,53.138858400000004,-8.9475891,63050T,53.1387045,-8.9352155,0.8255403030527946,1.0
4462279,53.2050636,-8.5769289,63070C,53.1999042,-8.5609795,1.2069896896729726,1.0
4461144,53.4898015,-8.570509500000002,63090I,53.46959150000001,-8.497463400000001,5.329405213839878,0.0
4463945,53.6792331,-8.5704011,63090I,53.46959150000001,-8.497463400000001,23.77618609628737,0.0
4462614,53.34412880000001,-8.940804,63100I,53.267644999999995,-8.9332681,8.509122551699559,0.0
4457560,53.2780081,-8.9749305,63100I,53.267644999999995,-8.9332681,2.999916648360439,1.0
4422536,53.265766000000006,-8.9268754,63100I,53.267644999999995,-8.9332681,0.4736000896190026,1.0
4464410,53.26727750000001,-8.927311999999997,63100I,53.267644999999995,-8.9332681,0.39819934310679417,1.0
4465614,53.3436551,-8.948053699999997,63100I,53.267644999999995,-8.9332681,8.49874032720335,0.0
4454269,53.27524440000001,-8.9703429,63100I,53.267644999999995,-8.9332681,2.6058428508141525,1.0
4448113,53.2481871,-9.215065,63130R,53.2437593,-9.3074602,6.1673367830328765,0.0
4467366,53.51267739999999,-8.840950200000002,63160D,53.5128392,-8.8478484,0.4564729285006808,3.0
4433457,53.509190000000004,-8.852310899999997,63160D,53.5128392,-8.8478484,0.5013290067183935,3.0
4449445,53.5185446,-8.860286300000002,63170G,53.517980200000004,-8.8490486,0.7455963002123432,3.0
4438963,53.52995670000001,-8.8540727,63170G,53.517980200000004,-8.8490486,1.3709745238561777,3.0
4437282,53.43058019999999,-7.940413800000001,63190M,53.4250057,-7.9258939,1.144005336331017,3.0
4463382,53.42034289999999,-7.9417507999999986,63190M,53.4250057,-7.9258939,1.1713954388329555,3.0
4462285,53.4306899,-7.9447686000000015,63190M,53.4250057,-7.9258939,1.4008362557244824,3.0
4449270,53.41764379999999,-7.908427899999999,63210P,53.4225836,-7.9220011,1.0535563071226903,2.0
4431201,53.4208961,-7.917190899999999,63210P,53.4225836,-7.9220011,0.3697571666016616,3.0
4466337,53.4001823,-7.7155298,63210P,53.4225836,-7.9220011,13.909133666473696,0.0
4421110,53.52446759999999,-7.3471701000000005,63270K,53.52725699999999,-7.3468931,0.3103383540638917,3.0
4467544,53.5251904,-7.3681656,63270K,53.52725699999999,-7.3468931,1.4247311535810343,3.0
4467618,53.51987579999999,-7.3534041,63270K,53.52725699999999,-7.3468931,0.9258942529788532,3.0
4467546,53.5062243,-7.1333592999999995,63270K,53.52725699999999,-7.3468931,14.309782774390216,0.0
4432118,53.52054860000001,-7.3649659,63270K,53.52725699999999,-7.3468931,1.4079684949367337,3.0
4432327,53.5191238,-7.3779088,63270K,53.52725699999999,-7.3468931,2.2404602912873024,3.0
4452503,53.5117795,-7.3386728,63270K,53.52725699999999,-7.3468931,1.8028296313842609,3.0
4468369,53.52614910000001,-7.367745999999999,63270K,53.52725699999999,-7.3468931,1.3838517267706576,3.0
4460511,53.6479627,-7.217247299999999,63300Q,53.612615299999995,-7.4186884000000015,13.850611554998233,0.0
4457032,53.0533757,-7.2776827000000015,63430G,53.0499161,-7.2792410000000025,0.39808854189708304,2.0
4468527,53.0308623,-7.328841899999999,63451O,53.0487946,-7.2801655,3.8153845739072185,2.0
4467157,53.0308623,-7.328841899999999,63451O,53.0487946,-7.2801655,3.8153845739072185,2.0
4463849,53.0388593,-7.2791193,63451O,53.0487946,-7.2801655,1.1056237954642965,2.0
4462446,53.03982569999999,-7.293840899999997,63451O,53.0487946,-7.2801655,1.3520150680394605,2.0
4452605,53.0436035,-7.269693199999999,63451O,53.0487946,-7.2801655,0.9068838978185046,2.0
4459846,53.04202739999999,-7.2967156000000015,63451O,53.0487946,-7.2801655,1.337479886263348,2.0
4450809,53.034310700000006,-7.2950336999999985,63451O,53.0487946,-7.2801655,1.8909144567325584,2.0
4458693,52.6397846,-6.621283,63550Q,52.656527600000004,-6.646004,2.4977717403963364,1.0
4451288,52.50166089999999,-6.5697135,63560T,52.49736039999999,-6.5690937000000025,0.4794360250450154,3.0
4448956,52.5018253,-6.5701285,63560T,52.49736039999999,-6.5690937000000025,0.500777603414669,3.0
4440672,52.51148749999999,-6.593603599999999,63560T,52.49736039999999,-6.5690937000000025,2.2833152271456427,3.0
4427667,52.4991611,-6.5697231999999985,63560T,52.49736039999999,-6.5690937000000025,0.20446851934362825,3.0
4449154,52.5652718,-6.4065401,63570W,52.5018716,-6.5612254,12.611367879819332,0.0
4419138,52.6090027,-6.3035942,63570W,52.5018716,-6.5612254,21.093060812756114,0.0
4459980,52.512319999999995,-6.2622291,63570W,52.5018716,-6.5612254,20.26940090338729,0.0
