Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_Property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Cultural_Amenity_to_Property,Culture_Amenity_id,Nearest_Cultural_Amenity_to_Property,Number_culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_Property,Number_indoor_Amenity_to_Property
4243362,53.5815541,-6.1086021,0.935174537380467,-0.1066152193392399,0.13865142567096894,Act5360,Seasons,7.0,0.2507463008882042,Act2622,G Golf Ireland,4.0,19.053306067179445,Act229,Architectural Furniture,0.0,3.38663179268021,Act244,Ardgillan Demesne,2.0,0.8096305144928819,Act5478,Skerries Mills,1.0
4466526,51.6187429,-9.3688269,0.9009170193454461,-0.16351687645441354,8.80896370389544,Act4785,"Organico Café, Shop and Bakery",0.0,8.377786219937427,Act2784,Glenbeg Lough and Lough Fadda Cork,0.0,8.753025985702038,Act6487,The Stuffed Olive,0.0,5.305961597546953,Act3877,Lassanroe Garden,0.0,4.413113278556578,Act7045,Wild Atlantic Luxury Tours,1.0
4456171,53.7686571,-8.4924537,0.938440100770826,-0.14822127863817477,0.17099699405675794,Act663,"Benny's Deli, Restaurant and Café",2.0,0.6668531218978028,Act1251,Castlerea Golf Club,1.0,25.140281688567157,Act6597,Time Pieces,0.0,0.1999563272712309,Act1252,Castlerea Railway Museum and Pub,2.0,16.963964399155913,Act2589,"Frances Crowe, Fibre Artist at Grange Studio",0.0
4417030,53.74639989999999,-8.6277145,0.938051639348551,-0.1505820249470563,0.8752741069303925,Act11339,Black Donkey Brewing,1.0,2.29984541490772,Act4092,Lough O'Flynn - Wild Goose Bog Loop,1.0,24.455121196594096,Act6040,The Food Store,0.0,8.257867707442145,Act1493,Clonalis House,0.0,9.155217522180145,Act2898,Graune Pet Farm & Play Centre,0.0
4434165,53.2749341,-9.053407,0.9298230088280021,-0.15801176067310227,0.0455173109506921,Act856,Brasserie on the Corner,76.0,0.032279382099109695,Act2677,Galway Gothic Tour,39.0,0.17625466860975536,Act2436,Fallers Jewellers,21.0,0.21027565417487645,Act4135,Lynchs Castle,21.0,0.12067155187473173,Act2903,Great Escape Rooms,40.0
4434174,53.281809200000005,-9.090378500000002,0.9299430019594059,-0.1586570350775034,2.04854504939464,Act4580,National University of Ireland Galway,75.0,1.2207988976470197,Act1896,Derroura Bike Hire,41.0,1.111637823720581,Act2394,Evergreen Healthfoods Westside,20.0,1.4378221500952946,Act2672,Galway Family History Society (West) Ltd.,22.0,1.3468037373310273,Act4393,Monkey Business Ltd.,38.0
4450814,52.249131,-8.1034832,0.9119193672558373,-0.14143246272004614,11.386806373651645,Act4983,Praline Pastry Shop and Café,0.0,6.0995615155092,Act4361,Mitchelstown Cave,0.0,18.64124625518755,Act1740,Craft Granary,0.0,9.72744112408107,Act454,"Ballyboy House, Garden & Woodlands",0.0,9.659113235149826,Act2641,Galty Castle Wood,0.0
4418409,53.7748509,-9.539788900000001,0.938548202974036,-0.1665007262502081,2.5452511553770605,Act1776,Cronin's Sheebeen,14.0,1.2894848690027019,Act6954,Westport Adventure Park,20.0,2.8581671977208565,Act4782,O'Reilly & Turpin,3.0,3.1610429595754628,Act6967,Westport Walking Tours,3.0,1.2894848690027019,Act6954,Westport Adventure Park,11.0
4441676,52.7142499,-7.749776400000001,0.9200372234740916,-0.1352591144733531,5.982601254832048,Act6582,Thurles Farmers Market,0.0,5.795557897354507,Act3578,Kilcommon Pilgrim Loop,0.0,23.852091859750573,Act5187,Rossa Pottery,0.0,5.571416427011295,Act6441,The Source Arts Centre & Theatre,0.0,11.230624099488411,Act2458,Farney Castle,0.0
4421534,52.2397175,-10.129874599999999,0.9117550706867008,-0.17679966458414356,3.613856715675377,Act4703,O'Connor's Bar,1.0,3.7614806555380382,Act3885,Lazy B Ranch,3.0,14.432447204077159,Act1948,Dingle Woolen Company,0.0,3.4003776206475274,Act1562,Coláiste Gaeilge an Leith-Triuigh,1.0,3.405055845842169,Act6604,Tinteán Ceoil,2.0
4413248,54.11494820000001,-9.155069300000001,0.9444840206361791,-0.1597861025332525,0.02643929152870458,Act5902,The Broken Jug,4.0,0.0,Act7760, Belleek Nature Trail,12.0,2.2514127368920764,Act4639,Noo Chocolates,1.0,0.10386345981880045,Act6166,The Jackie Clarke Collection,5.0,0.02643929152870458,Act4455,Moy Archery,4.0
4381309,52.887409999999996,-7.549366099999999,0.9230594373521742,-0.13176129488344349,10.475152897955402,Act2220,Dunmore Country School Garden,0.0,4.639251170668718,Act5059,Rathdowney Golf Club,1.0,24.950525267791352,Act1230,Castlecomer Estate Craft Yard,0.0,4.5389609608041575,Act98,Aghaboe Abbey,1.0,4.396910067238215,Act1994,Donaghmore Famine Workhouse Museum,1.0
4347669,53.4761557,-9.39165,0.933334988274133,-0.16391521469492545,7.824367979428634,Act3422,John J. Burke's Bar & Restaurant,0.0,5.721777804048813,Act6630,Tom Sullivan - Angling Guide,0.0,9.934986239316498,Act6357,The Quiet Cailin Studios,0.0,1.199391448011103,Act1814,Curraghduff Farm,1.0,7.160688427610957,Act2098,Druid Tours Ireland - Brendan Hynes,0.0
4465389,53.800006,-7.005169199999999,0.9389872422927045,-0.12226326719929714,4.0690197936341965,Act5427,Sheridans Cheesemongers Meath ,3.0,7.134472757099876,Act6833,Virginia Golf Club,0.0,26.40237354448983,Act4586,Navan Shopping Centre,0.0,3.463962696691723,Act5658,St. Kilians Heritage Centre,1.0,9.342580268382394,Act4098,Loughcrew Cairns,0.0
4454074,53.649995700000005,-7.330085799999999,0.9363690686458,-0.12793413166368256,4.8949775270639,Act6922,Weir's Bar & Restaurant,1.0,2.1006046191526564,Act7981,River Inny,5.0,42.35545676473144,Act4586,Navan Shopping Centre,0.0,7.759999985648978,Act2560,Fore Abbey,0.0,5.254895524492655,Act2410,Exploring Ireland,0.0
