Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to_Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Culture_Amenity_to_Property,Culture_Amenity_id,Nearest_Culture_Amenity_to_property,Number_Culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_property,Number_Indoor_Amenity_to_Property
4462745,51.8681442,-8.5792128,0.905269893,-0.149735511,2.492718771,Act436,Ballincollig Farmers' Market,1,2.900560097,Act437,Regional Park Ballincollig,3,7.120935519,Act6024,The Erin Giftstore,0,5.653812048,Act4736,Old Cork Waterworks Experience,0,4.698166878,Act1375,Chuckies Playzone,1
4456490,53.7945428,-6.2430448,0.938891891,-0.108961687,4.086341478,Act6718,Triple House Restaurant,3,0.871153604,Act1483,Clogherhead Beach,2,1.48047674,Act2525,Fisherman's Catch,1,4.575926335,Act154,An Grianan,1,4.45101403,Act1347,Chauffeur Tours of Ireland,2
4455553,52.3243588,-6.6541247,0.91323234,-0.116136385,10.47007405,Act5361,Seasons Restaurant,0,5.479976003,Act3743,Kingsford Equestrian Centre,0,7.142078359,Act5813,Terry The Weaver,0,10.95159921,Act6344,The Potter's Yard- Patricia Howard Pottery,0,0.711069142,Act5080,Recreational Flying Club - ILAS Airfield,1
4448090,53.1271311,-6.071916,0.92724336,-0.105974926,1.484948293,Act6129,"The Horse & Hound, Delgany",11,1.171858562,Act1339,Charlesland Golf Club,11,2.010347236,Act143,AMOC Jewellery,1,4.784410386,Act137,Altidore Castle,2,2.091632437,Act2943,Greystones Beach,3
4444356,53.9014587,-8.5799599,0.940757926,-0.14974855,11.05105887,Act5980,The Crossbar,0,2.934756493,Act415,Ballaghaderreen Golf Course,1,18.22511356,Act4786,O'Riain Pottery,0,0.226939675,Act414,Ballaghaderreen Cathedral,1,15.61386687,Act3235,Ireland West Private Tours,0
4450870,53.2655324,-7.5088952,0.929658918,-0.131054944,1.228177177,Act7095,Windmill Restaurant,10,1.066809996,Act6076,The Grand Canal,2,18.28426401,Act4316,Metal Mayhem - Metal Work,0,1.385193803,Act1341,Charleville Castle,3,1.228259763,Act4718,Offaly Enchanting Tours,4
4438823,53.3212486,-6.2929749,0.930631349,-0.109833132,1.582954315,Act6826,Village Inn Crumlin,381,0.535738162,Act2255,Eamonn Ceannt Park,92,0.84605252,Act1266,Cathedral Stamps,68,0.698751329,Act285,Artzone,164,1.718928218,Act9883,Little Gem Private Tours of Ireland,232
4414599,52.3934044,-6.9473811,0.914437413,-0.121254675,0.140722593,Act4604,New Ross Farmers Market,5,0.040860611,Act4606,New Ross Self Guided Historic Town Walk,6,16.34886271,Act2168,Duiske Glass,0,0.027793048,Act6021,The Emigrant Trail,1,0.258089976,Act5161,Ros Tapestry Exhibition Centre,3
4442118,53.9959374,-6.37772,0.94240689,-0.111312213,1.650172297,Act1213,Castle Bar,10,1.590724168,Act6493,The Táin Way,8,1.629590394,Act4233,Marshes Shopping Centre,1,1.594149041,Act1719,County Museum Dundalk,5,1.028346522,Act356,Aura Dundalk Leisure Centre,5
4441472,53.8505055,-9.2912343,0.939868625,-0.16216263,0.769049576,Act4264,Mayo Leisure Point,3,0.317897598,Act878,Brian Hoban - Historic Walking Tours,4,11.73179208,Act6331,The Pine Rack,0,0.317897598,Act4265,Mayo Memorial Peace Park,3,0.74348298,Act5379,SGC Cinema Castlebar,2
4429299,52.0894879,-7.6223042,0.90913307,-0.133034305,0.026706335,Act5010,Quealy's Bar,12,0.201957487,Act2210,Dungarvan Harbour Sailing Club,10,0.093048644,Act5862,The Beach House Gallery Craft Shop,2,0.093048644,Act5705,The Beach House Gallery,5,0.17119052,Act401,Bainnlann Chul na nGabhar Art Gallery,5
4444922,54.3067906,-8.1641992,0.947832302,-0.142492157,0.67673032,Act4789,Origin Farmers Market,2,0.934299742,Act3740,Kingfisher Cycle Trail,2,20.31517879,Act2873,Gourmet Parlour,0,0.83680139,Act6091,The Greenbox,3,0.747268649,Act3923,Leitrim Sculpture Centre,1
4378674,53.3430441,-6.2709222,0.931011753,-0.10944824,0.025255008,Act1371,Christ Church Market,390,0.026259808,Act1839,Dalton’s Musical History Tour,93,0.132345726,Act3250,Irish Celtic Craftshop,66,0.076520954,Act2162,Dublinia,168,0.116857971,Act19,5 Day Celtic Rocker Tour - Shamrocker Adventures,236
4464692,53.2522443,-6.1175613,0.929426997,-0.106771587,1.92520269,Act6097,The Grill at the Castle,26,0.633844879,Act5137,Roadbikehire.ie,12,4.605496588,Act2181,Dun Laoghaire Shopping Centre,3,2.188330021,Act4413,Mornington Garden,12,2.125987622,Act3676,Killiney  Hill,7
4420856,52.6529112,-9.5170291,0.918966661,-0.166103493,2.739115271,Act1787,Crotty’s Bar,1,2.370347475,Act3792,Knockerra Lough,9,18.99770502,Act1800,Cullotycraft,0,2.119719188,Act6532,The West Clare Railway and Heritage Centre,8,0.172424271,Act2309,Eileen Clair Holistic Health Centre,4
4428845,53.3299895,-8.2234074,0.930783907,-0.143525535,20.58956589,Act6157,The Irish Whiskey Trail,0,3.173210749,Act430,Ballinasloe Golf Club,1,21.19456615,Act5856,The Bastion Gallery,0,7.009064786,Act5857,The Battle of Aughrim Visitor Centre,0,15.75185645,Act1507,Clonmacnoise - Monastic site,0
4447828,53.4893515,-10.0237541,0.933565298,-0.174947512,0.110639448,Act4215,Marconi Restaurant,7,0.17460287,Act6855,Walking Hiking Tours - JAQUIER Lilian,10,0.245763294,Act3028,Hehir's of Clifden,4,0.144674892,Act1597,Connemara Blue Artisan Glass,7,0.184579489,Act7008,The Whitethorn Gallery,3
4434050,53.0263289,-6.6104099,0.92548403,-0.115373418,7.843209732,Act5068,Rathsallagh Country House,0,7.321841252,Act10992,St. Kevin's Way - Pilgrim Path,0,16.81361714,Act2890,Grangecon Café and Foodstore,0,4.916634337,Act4436,Mount Slaney Studio,1,3.164949752,Act1374,Chrysalis Holistic Centre,1
4359410,53.0656611,-8.8219016,0.926170506,-0.153971229,0.196561306,Act4724,O'Grady's Bar and Restaurant,1,2.736878181,Act7759,Coole Park Seven Woods Trail,3,0.164059838,Act4333,Michael Kennedy Ceramics,1,3.177404823,Act5838,The Autograph Tree,3,0.358829994,Act2259,Earthwise,2
4458643,53.0656611,-8.8219016,0.926170506,-0.153971229,0.196561306,Act4724,O'Grady's Bar and Restaurant,1,2.736878181,Act7759,Coole Park Seven Woods Trail,3,0.164059838,Act4333,Michael Kennedy Ceramics,1,3.177404823,Act5838,The Autograph Tree,3,0.358829994,Act2259,Earthwise,2
4427133,52.2639836,-8.2727004,0.912178594,-0.14438586,0.24495735,Act4363,Mitchelstown Market,2,0.332649289,Act4364,Mitchelstown Self Guided Historic Town Walk,3,19.11043358,Act4199,Mandy Parslow Studio Potter,0,0.663082825,Act3263,Irish Family Search,1,9.346376494,Act2641,Galty Castle Wood,0
4466382,51.8896269,-8.4505537,0.905644837,-0.147489986,1.510909605,Act5573,South County,61,1.797651662,Act5878,The Blackwater Way,13,1.679168211,Act4611,Newbridge Silverware,8,1.01545655,Act4334,Michael O’Sullivan Photography,39,1.396898103,Act1530,Club Vitae Gym Cork,26
4447102,53.5359984,-6.0885939,0.93437944,-0.10626601,4.494128638,Act5479,Skerries Mills Farmers Market,3,2.691166458,Act5238,Rush Golf Club,3,16.42187681,Act3117,Howth Market,0,1.575541932,Act4127,Lulu + Belle,1,4.493892104,Act5478,Skerries Mills,1
4452064,53.9501135,-6.5361774,0.941607112,-0.114077816,6.678126398,Act1846,Daniel McNello's Bar,0,6.396810543,Act3207,Inniskeen Pitch and Putt,0,10.60655505,Act4233,Marshes Shopping Centre,0,6.331848068,Act4861,Patrick Kavanagh Centre,0,5.244077404,Act5696,Stephenstown Pond Nature Park & The Dairy Maid Coffee Shop,0
