School,FullAddress,Latitude,Longitude
"Colaiste Chilliain, Clondalkin, Dublin 22","96-116 Old Nangor Rd, Clondalkin, Dublin 22, Ireland",53.3231339,-6.4023791
"De La Salle College, Macroom, Co Cork","Barrack Ln, Maghereen, Co. Cork, Ireland",51.9064068,-8.9643844
"Mount Temple Comprehensive School, Clontarf, Dublin 3","128 Malahide Road, Malahide Road, Clontarf, Dublin 3, D03 DX79, Ireland",53.3691594,-6.2224862
"Colaiste Eanna CBS, Ballyroan, Dublin 16","Hillside Park, Ballyroan Road, Ballyroan, Rathfarnham, Dublin 16, D16 E248, Ireland",53.2859957,-6.2962697
"Gaelcholaiste Chill Dara, Loiste, Herbert","R445, Naas West, Naas, Co. Kildare, Ireland",53.2158046,-6.6691701
"Scoil Phobail Mhic Dara, Carna, Co Galway (G)","Carna, Co. Galway, Ireland",53.323963,-9.818426
"Scoil Mhuire agus Ide, Newcastle West, Co Limerick","Bóthar Buí, Rathnaneane, Newcastle West, Co. Limerick, Ireland",52.4464932,-9.0594866
"Our Lady''s Grove, Goatstown Road, Dublin 14","D14 Y993, Our Lady's Grove, Goatstown Rd, Friarland, Dublin 14, Ireland",53.3006942,-6.2338977
"St Fintan''s High School, Sutton, Dublin 13","13 Dublin Rd, Burrow, Sutton, Co. Dublin, D13 HN59, Ireland",53.3892178,-6.1179363
"Colaiste an Spioraid Naoimh, Bishopstown, Cork","Bishopstown, Cork, Co. Cork, Ireland",51.8829286,-8.517108
"Mount St Michael, Rosscarbery, Co Cork","Mount Saint Michael's Secondary School, Ardagh East, Rosscarbery, Co. Cork, Ireland",51.583032,-9.0257308
"Lucan Community College, Esker, Lucan","Lucan Community College, Esker Dr, Lucan, Co. Dublin, Ireland",53.3476706,-6.4497507
"Tarbert Comprehensive School, Listowel, Co Kerry","Tarbert, Kilpadogue, Tarbert, Co. Kerry, V31 WD66, Ireland",52.5739636,-9.3837619
"Sacred Heart Secondary School, Drogheda, Co Louth","Sunnyside, Drogheda, Co. Louth, Ireland",53.7112734,-6.343114
"Templeogue College, Templeville Road, Dublin 6W","Templeville Rd, Dublin, Ireland",53.3041375,-6.3119162
"Christ King Girls'' Secondary School, South Douglas Road, Cork","Half Moon Ln, South Douglas Road, Cork, Co. Cork, T12 R22C, Ireland",51.8845041,-8.4624111
"Rice College, Ennis, Co Clare","New Rd, Lifford, Ennis, Co. Clare, Ireland",52.848132,-8.9790457
"Holy Rosary College, Mountbellew, Co Galway","Holy Rosary College, College Rd, Treanrevagh, Mountbellew, Co. Galway, Ireland",53.4697525,-8.4974901
"Colaiste Chroi Mhuire, Spiddal, Co Galway (G)","Bohoona East, Spiddal, Co. Galway, Ireland",53.2437593,-9.3074602
"Scoil Mhuire, Ennistymon, Co Clare","Scoil Mhuire, Lahinch Rd, Ennistimon, Co. Clare, Ireland",52.9388548,-9.2986566
"St Vincent''s Secondary School, Dundalk, Co Louth","Seatown Pl, Marshes Lower, Dundalk, Co. Louth, Ireland",54.005274,-6.391834
"St Mary''s High School, Midleton, Co Cork","Castleredmond, Midleton, Co. Cork, Ireland",51.9082072,-8.1696676
"Dundalk Grammar School, Dundalk, Co Louth (B)","The Crescent, Cambrickville, Dundalk, Co. Louth, Ireland",53.9976335,-6.4103045
"Colaiste Raithin, Bray, Co Wicklow","Bóthar Bhaile Átha Cliath, Ravenswell, Bré, Co. Chill Mhantáin, A98 X3A3, Ireland",53.2096484,-6.109433
"Colaiste an Eachréidh, Athenry, Co Galway","Tuam Rd, Gorteenacra, Athenry, Co. Galway, Ireland",53.3011203,-8.7467822
"Scoil Chuimsitheach Chiarain, Carraroe, Co Galway (G)","Barraderry, Carraroe, Co. Galway, Ireland",53.2622391,-9.5978179
"Maryfield College, Drumcondra, Dublin 9","Sion Hill Rd, Grace Park, Dublin, Ireland",53.3760038,-6.235165
"Mean Scoil Naomh Ioseph, Castleisland, Co Kerry","Clochar Na Toirbhirte, Cahereen East, Castleisland, Co. Kerry, Ireland",52.2300415,-9.4659594
"St Anne''s Community College, Killaloe, Co Clare","Clarisford, Shantraud, Killaloe, Co. Clare, Ireland",52.8030727,-8.4402273
"Balla Secondary School, Balla, Co Mayo","Balla, Moat, Castlebar, Co. Mayo, Ireland",53.8071689,-9.1375791
"St Peter''s College, Summerhill, Wexford","Summerhill Heights, Townparks, Wexford, Y35 P8WT, Ireland",52.3350512,-6.4723007
"St Benildus College, Kilmacud, Dublin 14","Kilmacud Rd Upper, Stillorgan, Dublin, Ireland",53.2846602,-6.2213697
"Presentation Secondary School, Thurles, Co Tipperary (B)","Mitchel St, Monacocka, Thurles, Co. Tipperary, Ireland",52.6814189,-7.8070551
