,School,FullAddress,Latitude,Longitude
2975,"Gaelscoil Ros Eo, Gaelscoil Ros Eo, CLG Naomh Maur","Gaelscoil Ros Eo, St Maurs Gaa, Rush, Co, Rush Demesne, Dublin, Co. Fingal, Ireland",53.531993,-6.105555
2976,"Scoil Phadraig Naofa, Foxwood, Rochestown","Foxwood, Rochestown, Cork, Ireland",51.8686221,-8.4038589
2977,"Midleton Educate Together School, Broomfield West, Mill Road","Mill Rd, Broomfield West, Midleton, Co. Cork, Ireland",51.92777479999999,-8.1828366
2978,"Edenmore N.S., Emyvale, Co Monaghan","Emyvale, Rarutagh, Edenmore, Co. Monaghan, Ireland",54.330499,-6.9940789
2979,"Holy Child National School, Larkhill Road, Whitehall","Larkhill Rd, Whitehall, Dublin 9, D09 AE78, Ireland",53.3859296,-6.2450322
2980,"RÉALT NA MARA SCHOOL, Mill Street, Dundalk","Realt Na Mara School, Mill St, Townparks, Dundalk, Co. Louth, Ireland",54.0068036,-6.3905845
2981,"S N Leitir Meallain, Leitir Meallain, Co na Gaillimhe","Lettermullan, Co. Galway, Ireland",53.24180579999999,-9.73263
2982,"Kilcoole Primary School, Main Street, Kilcoole","St Brigids Buildings, Kilcoole, Co. Wicklow, Ireland",53.1109944,-6.0677565
2983,"Portlaoise Educate Together NS, Summerhill Downs, Stradbally Road","Downs, Co. Laois, Ireland",53.0287288,-7.2841027
2984,"Holywell Educate Together National School, Holywell Road, Nevinstown","Holywell, Swords, Co. Dublin, K67 AP99, Ireland",53.4445361,-6.2082405
2985,"SCOIL OILIBHÉIR NAOFA, Ballymakenny Road, Drogheda","Ballymakenny Rd, Greenbatter, Drogheda, Co. Louth, Ireland",53.73215339999999,-6.3448422
2986,"Merlin Woods Primary School, Doughiska Road, Doughiska","Doughiska Rd, Galway, Ireland",53.2828157,-8.9838373
2987,"Naas Community National School, Craddockstown Road, Naas","Craddockstown Education Campus, Craddockstown Rd, Cradockstown North, Naas, Co. Kildare, W91 HF68, Ireland",53.2069454,-6.6509949
2988,"ARD Rí COMMUNITY NATIONAL SCHOOL, Balreask Old, Navan","c/o Navan RFC, Balreask Old, Navan, Co. Meath, C15 D340, Ireland",53.6382005,-6.6712246
2989,"St Coleman's National School, Stradbally, Co. Laois","Stradbally, Kylebeg, Stradbally, Co. Laois, Ireland",53.01430089999999,-7.144708
2990,"Holy Trinity National School, Rocklow Road, Fethard","Rocklow Rd, Fethard, Co. Tipperary, Ireland",52.4688764,-7.6987036
2991,"Gaelscoil na Mí, Campas Oideachais Chill Dhéagláin, Cill Dhéagláin","Ashbourne Education Campus, Killegland, Ashbourne, Co. Meath, Ireland",53.5112442,-6.4125431
2992,"Hansfield Educate Together National School, Barnwell Road, Hansfield","Barnwell Rd, Hansfield, Dublin 15, Ireland",53.39170799999999,-6.4451605
2993,"Powerstown Educate Together National School, Powerstown Road, Tyrrelstown","Powerstown Road, Tyrrelstown, Dublin 15, Ireland",53.4143552,-6.391604099999999
2994,"Our Lady's National School, Banada, Tourlestrane","Toorlestraun, Co. Sligo, Ireland",54.0382306,-8.8472834
2995,"Scoil Mhuire Agus Chormaic, Kilcormac, Co. Offaly","Kinnity Rd, Frankford, Kilcormac, Co. Offaly, R42 RC92, Ireland",53.17459909999999,-7.7250096
2996,"Bunscoil Chriost Ri, Evergreen Road, Turners Cross","Evergreen Rd, Turners Cross, Cork, Ireland",51.8887102,-8.4675134
2997,"Scoil Maria Assumpta, Ballyphehane, Cork","Pearse Rd, Ballyphehane, Cork, Ireland",51.8834555,-8.4800828
2998,"Pelletstown ETNS, Ashtown Road,, Rathborne","Rathborne Vale, Ashtown, Dublin 15, Ireland",53.37831600000001,-6.320049099999999
2999,"Gaelscoil an Chuilinn, Bóthar Bhaile an Phaoraigh, Baile an Tirialaigh","Powerstown Road, Tyrrelstown, Dublin 15, Co. Dublin, D15 WR86, Ireland",53.4146189,-6.38948
3000,"Ashbourne Educate Together National School, Ashbourne Educate Together, Killegland","Killegland, Ashbourne, Co. Meath, A84 A274, Ireland",53.51088540000001,-6.4113633
3001,"St Louise de Marillac Primary School, Drumfinn Road, Ballyfermot",.,.,.
3002,"Citywest & Saggart Community National School, Fortunestown Lane, Citywest","2828 Hayes Rd, Houston, TX 77082, USA",29.7344764,-95.5773871
3003,"Scoil Chroí Íosa, St Anne's Road, Blarney","St Ann's Rd, Monacnapa, Blarney, Co. Cork, Ireland",51.934364,-8.5715285
3004,"Ballinteer Educate Together National School, Notre Dame Campus, Upper Churchtown Road","Churchtown Lower, Dublin, Ireland",53.2938935,-6.2507006
3005,"Stepaside Educate Together National School, Belarmine Vale, Stepaside","Belarmine Vale, Kilgobbin, Stepaside, Co. Dublin, D18 H7W6, Ireland",53.2602635,-6.2166299
3006,"City West Educate Together National School, Fortunestown Lane, Citywest","Citywest Dr, Citywest, Co. Dublin, Ireland",53.286345,-6.4341943
3007,"KILDARE TOWN EDUCATE TOGETHER, Melitta Road, Kildare Town","Melitta Rd, Kildare, Kildare Town, Co. Kildare, Ireland",53.15946289999999,-6.9024939
3008,"Coore National School, Coore, Mullagh","Coore National School, Shanavogh West, Coore, Co. Clare, Ireland",52.8125924,-9.351393
3009,"St Mary's National School, Bishop St,, Limerick","Bishop St, Limerick, Ireland",52.6696505,-8.623153
3010,"Knocknacarra Educate Together NS, An Coimín Mór, Cappagh Road","An Coimín Mór, Cappagh Rd, Knocknacarra, Galway, H91 Y38E, Ireland",53.264713,-9.1256864
3011,"Firhouse Educate Together National School, Ballycullen Drive, Firhouse","Ballycullen Dr, Firhouse, Dublin, D24 FW9Y, Ireland",53.277002,-6.3359964
3012,"Gaelscoil na Giúise, Céide Bhaile Uí Chuilinn, Teach na Giúise","Ballycullen Dr, Firhouse, Dublin 24, Ireland",53.2766039,-6.337932299999999
3013,"Douglas Rochestown Educate Together National School, Garryduff Sports Centre, Rochestown","garryduff sports centre, Garryduff, Cork, Co. Cork, Ireland",51.8688627,-8.3970479
3014,"Scoil Chróine, An Clochán Liath, Co. Dhún na nGall","Dunglow, Dungloe, Co. Donegal, Ireland",54.9487216,-8.3564393
3015,"Scoil Aoife CNS, Citywest Drive, Citywest","Citywest Drive, Citywest, Dublin, Ireland",53.2845948,-6.418143799999999
