id,formatted_address,lat,lng,county,address,dateofsale,euro_price
246,"112 Oakfield, Father Russell Rd, Gouldavoher, Limerick, V94 AXY1, Ireland",52.6324132,-8.6662363,Limerick,"112 OAKFIELD, FATHER RUSSELL RD, LIMERICK",03/11/2020,282000.00
251,"13 Bohermore, Liam Mellows Terrace, Galway, H91 NAX9, Ireland",53.2812236,-9.0434137,Galway,"13 LIAM MELLOWS TERRACE, BOHERMORE, GALWAY",03/11/2020,193000.00
252,"BASEMENT 2, 13 Portland St N, Dublin, D01 X4T0, Ireland",53.3596889,-6.2563806,Dublin,"13 PORTLAND STREET NORTH, BASEMENT 2, DUBLIN 1",03/11/2020,430000.00
235,"16 Grange View Way, Kilmahuddrick, Dublin 22, D22 TX03, Ireland",53.3253317,-6.4305577,Dublin,"16 GRANGE VIEW WAY, CLONDALKIN, DUBLIN 22",03/11/2020,262000.00
260,"29 Cluain Dubh, Bóthar an Athar Ruiséil, Gouldavoher, Limerick, V94 XDE4, Ireland",52.6340946,-8.6650828,Limerick,"29 CLUAIN DUBH, FR RUSSELL RD, LIMERICK",03/11/2020,230000.00
228,"3 Golden Ridge Ave, Rush, Co. Dublin, Ireland",53.5278045,-6.0916132,Dublin,"3 GOLDEN RIDGE WAY, SKERRIES RD, RUSH",03/11/2020,260000.00
284,"33 St Killian's Ave, Greenhills, Dublin 12, D12 E4H5, Ireland",53.3096803,-6.3421316,Dublin,"33 ST KILLIANS AVE, WALKINSTOWN, DUBLIN 12",03/11/2020,340000.00
279,"47 Crawford Woods, Poulacurry South, Co. Cork, Ireland",51.9209703,-8.4047691,Cork,"47 CRAWFORD WOODS, CHURCH HILL, GLANMIRE",03/11/2020,400000.00
410770,"47 Crawford Woods, Poulacurry South, Co. Cork, Ireland",51.9209703,-8.4047691,Cork,"47 CRAWFORD WOODS, CHURCH HILL, GLANMIRE",03/11/2020,400000.00
283,"47 The Oaks, Moneygurney, Cork, Ireland",51.8624558,-8.4145246,Cork,"47 THE OAKS, MARYBOROUGH RIDGE, DOUGLAS",03/11/2020,293000.00
257,"50 Thornberry, Ahaglugger, Barna, Co. Galway, Ireland",53.2534951,-9.1551754,Galway,"50 THORNBERRY, BARNA, CO GALWAY",03/11/2020,210000.00
255,"52 Dartmouth Square S., Ranelagh, Dublin 6, D06 HX83, Ireland",53.3299648,-6.25439,Dublin,"52 DARTMOUTH SQUARE, DUBLIN 6",03/11/2020,1460000.00
254,"57 Holywell Way, Feltrim Hall, Swords, Co. Dublin, K67 KC96, Ireland",53.4444148,-6.2066434,Dublin,"57 HOLYWELL WAY, SWORDS, DUBLIN",03/11/2020,282000.00
206,"59 Curragh Finn, Bishopsland, Kildare, R51 XY98, Ireland",53.1652845,-6.9064192,Kildare,"59 CURRAGH FINN, RATHBRIDE RD, KILDARE",03/11/2020,253500.00
221,"6 St Declan's Rd, Cork, T23 HK4D, Ireland",51.9046121,-8.4869941,Cork,"6 ST DECLANS ROAD, GURRANABRAHER, CO CORK",03/11/2020,192000.00
222,"6 Tootenhill Cottages, Tootenhill, Rathcoole, Co. Dublin, D24 XK51, Ireland",53.2790814,-6.4850582,Dublin,"6 TOOTENHILL COTTAGES, RATHCOOLE, DUBLIN",03/11/2020,265000.00
220,"2, Green View Terrace, Prince's St, Tralee, Co. Kerry, Ireland",52.2660335,-9.7106504,Kerry,"7 GREENVIEW TERRACE, TRALEE, CO KERRY",03/11/2020,170000.00
219,"Upper Rathgoggin Heights, Rathgoggan Middle, Co. Cork, Ireland",52.3606978,-8.6896285,Cork,"7 RATHGOGGIN HEIGHTS, CHARLEVILLE, CORK",03/11/2020,231000.00
224,"The Tramyard, Spa Rd, Inchicore, Dublin 8, Ireland",53.3389065,-6.3190585,Dublin,"75 THE TRAMYARD, INCHICORE, DUBLIN 8",03/11/2020,227000.00
276,"Loretto Road, Co. Kerry, Ireland",52.0419756,-9.4826215,Kerry,"9 ARDAGH, LORETTA RD, KILLARNEY",03/11/2020,1477500.00
234,"Walshestown South, Ardonagh, Co. Westmeath, Ireland",53.53962,-7.3920499,Longford,"ARDANARGH, CARRICKBOY, LONGFORD",03/11/2020,25000.00
211,"Kinsale, Co. Cork, Ireland",51.7058853,-8.5222327,Cork,"CHALET 1, SUMMERCOVE, KINSALE",03/11/2020,130000.00
273,"3 Clonattin Rd, Goreybridge, Gorey, Co. Wexford, Y25 FC42, Ireland",52.6764176,-6.284918,Wexford,"HAKLUYT, 3 CLONATTIN, GOREY",03/11/2020,320000.00
272,"Ballynacragga North, Foynes, Co. Limerick, Ireland",52.6105253,-9.1051123,Limerick,"LOG HILL, KNOCKABOULA, FOYNES",03/11/2020,40000.00
259,"2 Avondale Ct, Manor West, Tralee, Co. Kerry, V92 KHC2, Ireland",52.264759,-9.6794085,Kerry,"2 AVONDALE COURT, TRALEE, KERRY",03/11/2020,135000.00
261,"Ballinteer Road & Southmede, Dundrum, Dublin, Ireland",53.2831076,-6.2451556,Dublin,"28 SOUTHMEDE, BALLINTEER RD, DUNDRUM",03/11/2020,459000.00
244,"1 Drumcliffe Rd, Cabra West, Dublin, D07 W8P0, Ireland",53.3627531,-6.2971444,Dublin,"1 DRUMCLIFFE RD, CABRA, DUBLIN",03/11/2020,397000.00
242,"1 Temple View Downs, Clarehall, Dublin 13, D13 P2R6, Ireland",53.3995715,-6.1778723,Dublin,"1 TEMPLE VIEW DOWNS, CLAREHALL, DUBLIN 13",03/11/2020,376000.00
248,"112 Broombridge Rd, Cabra West, Dublin 7, D07 T6H9, Ireland",53.3708593,-6.3007862,Dublin,"112 BROOMBRIDGE RD, CABRA, DUBLIN 7",03/11/2020,192500.00
